mode,opt,tp_ratio,entry_date,entry,sl,sl_pct,tp_pct,apct,outcome,bars,R
RAW,O1,1x,2023-03-22,27250.97,29976.07,10.0,-10.0,3.99,SL,20,-1.0
RAW,O1,1x,2023-05-01,28068.26,30875.09,10.0,-10.0,3.79,TP,44,1.0
RAW,O1,1x,2023-05-19,26880.26,29568.29,10.0,-10.0,3.69,SL,33,-1.0
RAW,O1,1x,2023-05-31,27210.35,29931.38,10.0,-10.0,3.36,SL,21,-1.0
RAW,O1,1x,2023-08-04,29113.99,32025.39,10.0,-10.0,2.61,TP,13,1.0
RAW,O1,1x,2023-08-04,29113.99,32025.39,10.0,-10.0,2.61,TP,13,1.0
RAW,O1,1x,2023-10-03,27426.46,30169.11,10.0,-10.0,2.5,SL,17,-1.0
RAW,O1,1x,2023-10-03,27426.46,30169.11,10.0,-10.0,2.5,SL,17,-1.0
RAW,O1,1x,2023-10-28,34081.0,37489.1,10.0,-10.0,2.77,SL,12,-1.0
RAW,O1,1x,2024-01-31,42580.0,46838.0,10.0,-10.0,3.8,SL,9,-1.0
RAW,O1,1x,2024-01-31,42580.0,46838.0,10.0,-10.0,3.8,SL,9,-1.0
RAW,O1,1x,2024-03-30,69582.18,76540.4,10.0,-10.0,4.44,TP,14,1.0
RAW,O1,1x,2024-03-30,69582.18,76540.4,10.0,-10.0,4.44,TP,14,1.0
RAW,O1,1x,2024-03-30,69582.18,76540.4,10.0,-10.0,4.44,TP,14,1.0
RAW,O1,1x,2024-04-25,64498.34,70948.17,10.0,-10.0,5.04,TP,6,1.0
RAW,O1,1x,2024-04-25,64498.34,70948.17,10.0,-10.0,5.04,TP,6,1.0
RAW,O1,1x,2024-05-08,61193.03,67312.33,10.0,-10.0,5.0,SL,9,-1.0
RAW,O1,1x,2024-05-22,69166.62,76083.28,10.0,-10.0,4.14,TP,33,1.0
RAW,O1,1x,2024-06-08,69310.46,76241.51,10.0,-10.0,3.57,TP,16,1.0
RAW,O1,1x,2024-07-03,60208.58,66229.44,10.0,-10.0,3.57,TP,2,1.0
RAW,O1,1x,2024-07-03,60208.58,66229.44,10.0,-10.0,3.57,TP,2,1.0
RAW,O1,1x,2024-07-18,63987.92,70386.71,10.0,-10.0,3.72,TP,17,1.0
RAW,O1,1x,2024-08-14,58683.39,64551.73,10.0,-10.0,4.98,SL,9,-1.0
RAW,O1,1x,2024-09-16,58213.99,64035.39,10.0,-10.0,4.25,SL,4,-1.0
RAW,O1,1x,2024-10-21,67377.5,74115.25,10.0,-10.0,3.16,SL,16,-1.0
RAW,O1,1x,2024-10-21,67377.5,74115.25,10.0,-10.0,3.16,SL,16,-1.0
RAW,O1,1x,2024-10-21,67377.5,74115.25,10.0,-10.0,3.16,SL,16,-1.0
RAW,O1,1x,2024-12-28,95300.0,104830.0,10.0,-10.0,4.0,SL,20,-1.0
RAW,O1,1x,2024-12-28,95300.0,104830.0,10.0,-10.0,4.0,SL,20,-1.0
RAW,O1,1x,2024-12-28,95300.0,104830.0,10.0,-10.0,4.0,SL,20,-1.0
RAW,O1,1x,2024-12-28,95300.0,104830.0,10.0,-10.0,4.0,SL,20,-1.0
RAW,O1,1x,2024-12-28,95300.0,104830.0,10.0,-10.0,4.0,SL,20,-1.0
RAW,O1,1x,2024-12-28,95300.0,104830.0,10.0,-10.0,4.0,SL,20,-1.0
RAW,O1,1x,2025-01-07,96954.61,106650.07,10.0,-10.0,3.78,SL,13,-1.0
RAW,O1,1x,2025-01-19,101331.57,111464.73,10.0,-10.0,3.76,TP,37,1.0
RAW,O1,1x,2025-01-19,101331.57,111464.73,10.0,-10.0,3.76,TP,37,1.0
RAW,O1,1x,2025-02-17,95780.0,105358.0,10.0,-10.0,3.86,TP,8,1.0
RAW,O1,1x,2025-03-21,84088.79,92497.67,10.0,-10.0,4.95,TP,17,1.0
RAW,O1,1x,2025-04-16,84030.38,92433.42,10.0,-10.0,4.6,SL,6,-1.0
RAW,O1,1x,2025-06-12,105671.73,116238.9,10.0,-10.0,2.83,SL,28,-1.0
RAW,O1,1x,2025-06-12,105671.73,116238.9,10.0,-10.0,2.83,SL,28,-1.0
RAW,O1,1x,2025-06-12,105671.73,116238.9,10.0,-10.0,2.83,SL,28,-1.0
RAW,O1,1x,2025-06-30,107146.5,117861.15,10.0,-10.0,2.64,SL,11,-1.0
RAW,O1,1x,2025-07-30,117840.3,129624.33,10.0,-10.0,2.39,TP,72,1.0
