mode,opt,tp_ratio,entry_date,entry,sl,sl_pct,tp_pct,apct,outcome,bars,R
RAW,O1,1x,2019-01-07,3984.28,4382.71,10.0,-10.0,1.08,TP,44,1.0
RAW,O1,1x,2019-01-09,3968.09,4364.9,10.0,-10.0,1.02,TP,14,1.0
RAW,O1,1x,2019-01-09,3968.09,4364.9,10.0,-10.0,1.02,TP,14,1.0
RAW,O1,1x,2019-01-09,3968.09,4364.9,10.0,-10.0,1.02,TP,14,1.0
RAW,O1,1x,2019-01-09,3968.09,4364.9,10.0,-10.0,1.02,TP,14,1.0
RAW,O1,1x,2019-01-10,3777.02,4154.72,10.0,-10.0,1.17,TP,220,1.0
RAW,O1,1x,2019-01-12,3571.16,3928.28,10.0,-10.0,1.26,SL,451,-1.0
RAW,O1,1x,2019-01-12,3571.16,3928.28,10.0,-10.0,1.26,SL,451,-1.0
RAW,O1,1x,2019-01-14,3488.28,3837.11,10.0,-10.0,1.1,SL,421,-1.0
RAW,O1,1x,2019-01-16,3592.1,3951.31,10.0,-10.0,1.08,SL,402,-1.0
RAW,O1,1x,2019-01-16,3592.1,3951.31,10.0,-10.0,1.08,SL,402,-1.0
RAW,O1,1x,2019-01-18,3598.52,3958.37,10.0,-10.0,1.02,SL,384,-1.0
RAW,O1,1x,2019-01-18,3598.52,3958.37,10.0,-10.0,1.02,SL,384,-1.0
RAW,O1,1x,2019-01-18,3598.52,3958.37,10.0,-10.0,1.02,SL,384,-1.0
RAW,O1,1x,2019-01-19,3685.74,4054.31,10.0,-10.0,0.84,SL,421,-1.0
RAW,O1,1x,2019-01-21,3528.17,3880.99,10.0,-10.0,0.88,SL,337,-1.0
RAW,O1,1x,2019-01-21,3528.17,3880.99,10.0,-10.0,0.88,SL,337,-1.0
RAW,O1,1x,2019-01-22,3520.62,3872.68,10.0,-10.0,0.93,SL,330,-1.0
RAW,O1,1x,2019-01-24,3549.22,3904.14,10.0,-10.0,0.83,SL,300,-1.0
RAW,O1,1x,2019-01-24,3549.22,3904.14,10.0,-10.0,0.83,SL,300,-1.0
RAW,O1,1x,2019-01-27,3552.34,3907.57,10.0,-10.0,0.72,SL,268,-1.0
RAW,O1,1x,2019-01-27,3552.34,3907.57,10.0,-10.0,0.72,SL,268,-1.0
RAW,O1,1x,2019-01-29,3406.18,3746.8,10.0,-10.0,0.86,SL,239,-1.0
RAW,O1,1x,2019-01-29,3406.18,3746.8,10.0,-10.0,0.86,SL,239,-1.0
RAW,O1,1x,2019-01-29,3411.04,3752.14,10.0,-10.0,0.87,SL,229,-1.0
RAW,O1,1x,2019-02-01,3462.07,3808.28,10.0,-10.0,0.74,SL,199,-1.0
RAW,O1,1x,2019-02-01,3462.07,3808.28,10.0,-10.0,0.74,SL,199,-1.0
RAW,O1,1x,2019-02-05,3455.0,3800.5,10.0,-10.0,0.64,SL,162,-1.0
RAW,O1,1x,2019-02-07,3408.05,3748.86,10.0,-10.0,0.61,SL,127,-1.0
RAW,O1,1x,2019-02-08,3630.93,3994.02,10.0,-10.0,0.84,SL,129,-1.0
RAW,O1,1x,2019-02-11,3632.1,3995.31,10.0,-10.0,0.76,SL,123,-1.0
RAW,O1,1x,2019-02-11,3632.1,3995.31,10.0,-10.0,0.76,SL,123,-1.0
RAW,O1,1x,2019-02-11,3632.1,3995.31,10.0,-10.0,0.76,SL,123,-1.0
RAW,O1,1x,2019-02-12,3610.22,3971.24,10.0,-10.0,0.73,SL,84,-1.0
RAW,O1,1x,2019-02-14,3590.56,3949.62,10.0,-10.0,0.64,SL,49,-1.0
RAW,O1,1x,2019-02-14,3590.56,3949.62,10.0,-10.0,0.64,SL,49,-1.0
