mode,opt,tp_ratio,entry_date,entry,sl,sl_pct,tp_pct,apct,outcome,bars,R
GATED,O1,ST_REV,2019-07-23,9864.91,10851.4,10.0,,8.36,SL,11,-1.0
GATED,O1,ST_REV,2019-09-07,10455.88,11501.47,10.0,,5.58,ST_REV,48,2.96
GATED,O1,ST_REV,2019-10-05,8126.19,8938.81,10.0,,5.83,ST_REV,20,0.942
GATED,O1,ST_REV,2019-12-02,7294.28,8023.71,10.0,,5.87,ST_REV,35,0.0
GATED,O1,ST_REV,2019-12-10,7224.13,7946.54,10.0,,5.51,ST_REV,27,0.0
GATED,O1,ST_REV,2019-12-24,7255.77,7981.35,10.0,,5.05,ST_REV,13,0.0
GATED,O1,ST_REV,2020-03-08,8033.31,8836.64,10.0,,4.85,ST_REV,46,1.261
GATED,O1,ST_REV,2020-03-27,6359.11,6995.02,10.0,,9.51,SL,6,-1.0
GATED,O1,ST_REV,2020-04-21,6841.37,7525.51,10.0,,6.83,SL,2,-1.0
GATED,O1,ST_REV,2020-09-20,10920.28,12012.31,10.0,,3.86,ST_REV,22,0.0
GATED,O1,ST_REV,2020-10-01,10619.13,11681.04,10.0,,3.71,SL,11,-1.0
GATED,O1,ST_REV,2021-01-31,33092.98,36402.28,10.0,,8.49,SL,3,-1.0
GATED,O1,ST_REV,2021-03-06,48882.2,53770.42,10.0,,7.41,SL,3,-1.0
GATED,O1,ST_REV,2021-05-04,53200.01,58520.01,10.0,,6.26,SL,3,-1.0
GATED,O1,ST_REV,2021-05-29,34605.15,38065.67,10.0,,12.49,SL,4,-1.0
GATED,O1,ST_REV,2021-05-29,34605.15,38065.67,10.0,,12.49,SL,4,-1.0
GATED,O1,ST_REV,2021-06-05,35513.2,39064.52,10.0,,11.32,SL,8,-1.0
GATED,O1,ST_REV,2021-06-16,38349.01,42183.91,10.0,,9.53,ST_REV,39,1.173
GATED,O1,ST_REV,2021-07-01,33504.69,36855.16,10.0,,9.91,ST_REV,24,0.0
GATED,O1,ST_REV,2021-07-01,33504.69,36855.16,10.0,,9.91,ST_REV,24,0.0
GATED,O1,ST_REV,2021-09-19,47241.75,51965.92,10.0,,5.03,ST_REV,16,0.0
GATED,O1,ST_REV,2021-09-19,47241.75,51965.92,10.0,,5.03,ST_REV,16,0.0
GATED,O1,ST_REV,2021-12-10,47140.54,51854.59,10.0,,6.79,SL,17,-1.0
GATED,O1,ST_REV,2021-12-27,50701.44,55771.58,10.0,,5.43,ST_REV,42,1.786
GATED,O1,ST_REV,2021-12-27,50701.44,55771.58,10.0,,5.43,ST_REV,42,1.786
GATED,O1,ST_REV,2022-01-17,42201.62,46421.78,10.0,,5.6,ST_REV,21,0.132
GATED,O1,ST_REV,2022-04-22,39709.18,43680.1,10.0,,4.75,ST_REV,88,4.566
GATED,O1,ST_REV,2022-04-22,39709.18,43680.1,10.0,,4.75,ST_REV,88,4.566
GATED,O1,ST_REV,2022-05-18,28715.32,31586.85,10.0,,7.16,SL,12,-1.0
GATED,O1,ST_REV,2022-06-02,30452.62,33497.88,10.0,,6.01,ST_REV,47,2.914
GATED,O1,ST_REV,2022-06-09,30109.93,33120.92,10.0,,5.71,ST_REV,40,2.833
GATED,O1,ST_REV,2022-06-27,20742.56,22816.82,10.0,,8.4,SL,22,-1.0
GATED,O1,ST_REV,2022-07-10,20862.47,22948.72,10.0,,7.3,SL,9,-1.0
GATED,O1,ST_REV,2022-10-19,19123.97,21036.37,10.0,,4.18,ST_REV,7,0.0
GATED,O1,ST_REV,2022-10-19,19123.97,21036.37,10.0,,4.18,ST_REV,7,0.0
GATED,O1,ST_REV,2022-11-20,16280.23,17908.25,10.0,,5.23,SL,23,-1.0
GATED,O1,ST_REV,2022-11-28,16212.91,17834.2,10.0,,4.68,SL,15,-1.0
GATED,O1,ST_REV,2022-12-28,16547.31,18202.04,10.0,,3.15,ST_REV,14,0.0
GATED,O1,ST_REV,2023-05-19,26880.26,29568.29,10.0,,3.7,ST_REV,32,0.085
GATED,O1,ST_REV,2023-05-31,27210.35,29931.38,10.0,,3.37,ST_REV,20,0.205
GATED,O1,ST_REV,2024-01-31,42580.0,46838.0,10.0,,3.8,ST_REV,8,0.0
GATED,O1,ST_REV,2024-03-30,69582.18,76540.4,10.0,,4.44,ST_REV,51,0.506
GATED,O1,ST_REV,2024-04-25,64498.34,70948.17,10.0,,5.04,SL,25,-1.0
GATED,O1,ST_REV,2024-04-25,64498.34,70948.17,10.0,,5.04,SL,25,-1.0
GATED,O1,ST_REV,2024-05-08,61193.03,67312.33,10.0,,5.0,SL,9,-1.0
