mode,opt,tp_ratio,entry_date,entry,sl,sl_pct,tp_pct,apct,outcome,bars,R
GATED,O3,3x,2019-07-23,9864.91,10689.52,8.36,-25.08,8.36,SL,11,-1.0
GATED,O3,3x,2019-09-07,10455.88,11039.46,5.58,-16.74,5.58,TP,17,3.0
GATED,O3,3x,2019-10-05,8126.19,8600.11,5.83,-17.5,5.83,SL,4,-1.0
GATED,O3,3x,2019-12-02,7294.28,7722.33,5.87,-17.6,5.87,SL,2,-1.0
GATED,O3,3x,2019-12-10,7224.13,7621.86,5.51,-16.52,5.51,SL,13,-1.0
GATED,O3,3x,2019-12-24,7255.77,7621.93,5.05,-15.14,5.05,SL,13,-1.0
GATED,O3,3x,2020-03-08,8033.31,8422.57,4.85,-14.54,4.85,TP,4,3.0
GATED,O3,3x,2020-03-27,6359.11,6963.64,9.51,-28.52,9.51,SL,6,-1.0
GATED,O3,3x,2020-04-21,6841.37,7308.31,6.83,-20.48,6.83,SL,2,-1.0
GATED,O3,3x,2020-09-20,10920.28,11341.7,3.86,-11.58,3.86,SL,20,-1.0
GATED,O3,3x,2020-10-01,10619.13,11012.75,3.71,-11.12,3.71,SL,8,-1.0
GATED,O3,3x,2021-01-31,33092.98,35902.87,8.49,-25.47,8.49,SL,2,-1.0
GATED,O3,3x,2021-03-06,48882.2,52503.74,7.41,-22.23,7.41,SL,3,-1.0
GATED,O3,3x,2021-05-04,53200.01,56530.28,6.26,-18.78,6.26,SL,1,-1.0
GATED,O3,3x,2021-05-29,34605.15,38927.33,12.49,-37.47,12.49,SL,5,-1.0
GATED,O3,3x,2021-05-29,34605.15,38927.33,12.49,-37.47,12.49,SL,5,-1.0
GATED,O3,3x,2021-06-05,35513.2,39531.59,11.32,-33.95,11.32,SL,9,-1.0
GATED,O3,3x,2021-06-16,38349.01,42005.05,9.53,-28.6,9.53,SL,44,-1.0
GATED,O3,3x,2021-07-01,33504.69,36824.27,9.91,-29.72,9.91,SL,25,-1.0
GATED,O3,3x,2021-07-01,33504.69,36824.27,9.91,-29.72,9.91,SL,25,-1.0
GATED,O3,3x,2021-09-19,47241.75,49619.33,5.03,-15.1,5.03,TP,2,3.0
GATED,O3,3x,2021-09-19,47241.75,49619.33,5.03,-15.1,5.03,TP,2,3.0
GATED,O3,3x,2021-12-10,47140.54,50341.34,6.79,-20.37,6.79,SL,2,-1.0
GATED,O3,3x,2021-12-27,50701.44,53453.87,5.43,-16.29,5.43,TP,10,3.0
GATED,O3,3x,2021-12-27,50701.44,53453.87,5.43,-16.29,5.43,TP,10,3.0
GATED,O3,3x,2022-01-17,42201.62,44565.37,5.6,-16.8,5.6,TP,5,3.0
GATED,O3,3x,2022-04-22,39709.18,41596.0,4.75,-14.25,4.75,TP,16,3.0
GATED,O3,3x,2022-04-22,39709.18,41596.0,4.75,-14.25,4.75,TP,16,3.0
GATED,O3,3x,2022-05-18,28715.32,30771.8,7.16,-21.48,7.16,SL,2,-1.0
GATED,O3,3x,2022-06-02,30452.62,32283.52,6.01,-18.04,6.01,TP,11,3.0
GATED,O3,3x,2022-06-09,30109.93,31829.21,5.71,-17.13,5.71,TP,4,3.0
GATED,O3,3x,2022-06-27,20742.56,22485.52,8.4,-25.21,8.4,SL,11,-1.0
GATED,O3,3x,2022-07-10,20862.47,22384.72,7.3,-21.89,7.3,SL,8,-1.0
GATED,O3,3x,2022-10-19,19123.97,19923.2,4.18,-12.54,4.18,SL,6,-1.0
GATED,O3,3x,2022-10-19,19123.97,19923.2,4.18,-12.54,4.18,SL,6,-1.0
GATED,O3,3x,2022-11-20,16280.23,17131.91,5.23,-15.69,5.23,SL,10,-1.0
GATED,O3,3x,2022-11-28,16212.91,16971.53,4.68,-14.04,4.68,SL,2,-1.0
GATED,O3,3x,2022-12-28,16547.31,17068.67,3.15,-9.45,3.15,SL,11,-1.0
GATED,O3,3x,2023-05-19,26880.26,27874.78,3.7,-11.1,3.7,SL,9,-1.0
GATED,O3,3x,2023-05-31,27210.35,28126.28,3.37,-10.1,3.37,SL,20,-1.0
GATED,O3,3x,2024-01-31,42580.0,44198.3,3.8,-11.4,3.8,SL,7,-1.0
GATED,O3,3x,2024-03-30,69582.18,72670.1,4.44,-13.31,4.44,SL,9,-1.0
GATED,O3,3x,2024-04-25,64498.34,67752.28,5.05,-15.14,5.04,SL,25,-1.0
GATED,O3,3x,2024-04-25,64498.34,67752.28,5.05,-15.14,5.04,SL,25,-1.0
GATED,O3,3x,2024-05-08,61193.03,64250.05,5.0,-14.99,5.0,SL,7,-1.0
GATED,O3,3x,2024-07-03,60208.58,62360.92,3.57,-10.72,3.57,TP,2,3.0
GATED,O3,3x,2024-07-03,60208.58,62360.92,3.57,-10.72,3.57,TP,2,3.0
GATED,O3,3x,2024-08-14,58683.39,61608.11,4.98,-14.95,4.98,SL,7,-1.0
GATED,O3,3x,2024-09-16,58213.99,60686.05,4.25,-12.74,4.25,SL,1,-1.0
GATED,O3,3x,2024-12-28,95300.0,99109.71,4.0,-11.99,4.0,SL,9,-1.0
GATED,O3,3x,2025-01-07,96954.61,100619.79,3.78,-11.34,3.78,SL,8,-1.0
GATED,O3,3x,2025-03-21,84088.79,88254.72,4.95,-14.86,4.95,SL,3,-1.0
GATED,O3,3x,2025-04-16,84030.38,87899.89,4.6,-13.81,4.6,SL,5,-1.0
GATED,O3,3x,2025-06-30,107146.5,109976.45,2.64,-7.92,2.64,SL,3,-1.0
GATED,O3,3x,2025-09-06,110187.97,113096.16,2.64,-7.92,2.64,SL,3,-1.0
GATED,O3,3x,2025-10-29,110021.29,113564.75,3.22,-9.66,3.22,TP,6,3.0
GATED,O3,3x,2025-10-29,110021.29,113564.75,3.22,-9.66,3.22,TP,6,3.0
GATED,O3,3x,2025-11-12,101654.37,105408.16,3.69,-11.08,3.69,TP,6,3.0
GATED,O3,3x,2025-11-30,90360.0,94071.72,4.11,-12.32,4.11,SL,3,-1.0
GATED,O3,3x,2025-12-24,87669.45,91132.92,3.95,-11.85,3.95,SL,11,-1.0
GATED,O3,3x,2026-01-07,91364.16,94349.94,3.27,-9.8,3.27,SL,6,-1.0
GATED,O3,3x,2026-02-12,66272.17,69968.7,5.58,-16.73,5.58,SL,2,-1.0
GATED,O3,3x,2026-04-12,70740.98,73476.25,3.87,-11.6,3.87,SL,1,-1.0
GATED,O3,3x,2026-05-27,74449.3,76626.87,2.92,-8.77,2.92,TP,6,3.0
GATED,O3,3x,2026-06-17,64509.4,66810.45,3.57,-10.7,3.57,EXP,22,1.219
GATED,O3,3x,2026-07-08,62290.0,64533.87,3.6,-10.81,3.6,EXP,1,0.261
GATED,O3,3x,2026-07-08,62290.0,64533.87,3.6,-10.81,3.6,EXP,1,0.261
