mode,opt,tp_ratio,entry_date,entry,sl,sl_pct,tp_pct,apct,outcome,bars,R
GATED,O5,TRAIL,2019-07-23,9864.91,11508.17,16.66,,8.36,TRAIL,4,-0.151
GATED,O5,TRAIL,2019-09-07,10455.88,11007.23,5.27,,5.58,TRAIL,5,0.044
GATED,O5,TRAIL,2019-10-05,8126.19,8546.64,5.17,,5.83,TRAIL,2,-0.21
GATED,O5,TRAIL,2019-12-02,7294.28,7788.99,6.78,,5.87,TRAIL,2,-0.379
GATED,O5,TRAIL,2019-12-10,7224.13,7910.46,9.5,,5.51,TRAIL,7,0.441
GATED,O5,TRAIL,2019-12-24,7255.77,7696.51,6.07,,5.05,TRAIL,10,0.086
GATED,O5,TRAIL,2020-03-08,8033.31,9342.83,16.3,,4.85,TRAIL,1,0.024
GATED,O5,TRAIL,2020-03-27,6359.11,7479.94,17.63,,9.51,TRAIL,3,-0.05
GATED,O5,TRAIL,2020-04-21,6841.37,7244.3,5.89,,6.83,SL,2,-1.0
GATED,O5,TRAIL,2020-09-20,10920.28,11498.92,5.3,,3.86,TRAIL,1,0.392
GATED,O5,TRAIL,2020-10-01,10619.13,11207.35,5.54,,3.71,TRAIL,4,-0.237
GATED,O5,TRAIL,2021-01-31,33092.98,37402.67,13.02,,8.49,SL,3,-1.0
GATED,O5,TRAIL,2021-03-06,48882.2,52998.39,8.42,,7.41,SL,3,-1.0
GATED,O5,TRAIL,2021-05-04,53200.01,60449.28,13.63,,6.26,TRAIL,8,0.215
GATED,O5,TRAIL,2021-05-29,34605.15,42821.86,23.74,,12.49,TRAIL,11,-0.032
GATED,O5,TRAIL,2021-05-29,34605.15,42821.86,23.74,,12.49,TRAIL,11,-0.032
GATED,O5,TRAIL,2021-06-05,35513.2,42653.7,20.11,,11.32,TRAIL,4,0.141
GATED,O5,TRAIL,2021-06-16,38349.01,43193.27,12.63,,9.53,TRAIL,5,0.85
GATED,O5,TRAIL,2021-07-01,33504.69,37941.79,13.24,,9.91,TRAIL,20,0.299
GATED,O5,TRAIL,2021-07-01,33504.69,37941.79,13.24,,9.91,TRAIL,20,0.299
GATED,O5,TRAIL,2021-09-19,47241.75,50541.26,6.98,,5.03,TRAIL,1,0.789
