mode,opt,tp_ratio,entry_date,entry,sl,sl_pct,tp_pct,apct,outcome,bars,R
RAW,O1,ST_REV,2019-03-11,3871.61,4258.77,10.0,,3.19,SL,22,-1.0
RAW,O1,ST_REV,2019-04-24,5415.0,5956.5,10.0,,3.06,SL,13,-1.0
RAW,O1,ST_REV,2019-04-24,5415.0,5956.5,10.0,,3.06,SL,13,-1.0
RAW,O1,ST_REV,2019-04-24,5415.0,5956.5,10.0,,3.06,SL,13,-1.0
RAW,O1,ST_REV,2019-05-07,5846.34,6430.97,10.0,,3.12,SL,3,-1.0
RAW,O1,ST_REV,2019-06-18,9081.55,9989.7,10.0,,4.47,SL,3,-1.0
RAW,O1,ST_REV,2019-06-18,9081.55,9989.7,10.0,,4.47,SL,3,-1.0
RAW,O1,ST_REV,2019-06-18,9081.55,9989.7,10.0,,4.47,SL,3,-1.0
RAW,O1,ST_REV,2019-07-11,11342.89,12477.18,10.0,,6.8,ST_REV,25,0.366
RAW,O1,ST_REV,2019-07-23,9864.91,10851.4,10.0,,8.36,SL,11,-1.0
RAW,O1,ST_REV,2019-08-06,11481.69,12629.86,10.0,,6.32,ST_REV,80,3.589
RAW,O1,ST_REV,2019-08-22,10099.88,11109.87,10.0,,6.65,ST_REV,64,2.712
RAW,O1,ST_REV,2019-09-07,10455.88,11501.47,10.0,,5.58,ST_REV,48,2.96
RAW,O1,ST_REV,2019-10-05,8126.19,8938.81,10.0,,5.83,ST_REV,20,0.942
RAW,O1,ST_REV,2019-10-30,9154.72,10070.19,10.0,,5.45,ST_REV,68,1.975
RAW,O1,ST_REV,2019-12-02,7294.28,8023.71,10.0,,5.87,ST_REV,35,0.0
RAW,O1,ST_REV,2019-12-10,7224.13,7946.54,10.0,,5.51,ST_REV,27,0.0
RAW,O1,ST_REV,2019-12-24,7255.77,7981.35,10.0,,5.05,ST_REV,13,0.0
RAW,O1,ST_REV,2020-01-09,7817.76,8599.54,10.0,,4.27,SL,5,-1.0
RAW,O1,ST_REV,2020-02-02,9331.51,10264.66,10.0,,3.62,SL,9,-1.0
RAW,O1,ST_REV,2020-02-02,9331.51,10264.66,10.0,,3.62,SL,9,-1.0
RAW,O1,ST_REV,2020-03-08,8033.31,8836.64,10.0,,4.85,ST_REV,46,1.261
RAW,O1,ST_REV,2020-03-27,6359.11,6995.02,10.0,,9.51,SL,6,-1.0
RAW,O1,ST_REV,2020-04-21,6841.37,7525.51,10.0,,6.83,SL,2,-1.0
