mode,opt,tp_ratio,entry_date,entry,sl,sl_pct,tp_pct,apct,outcome,bars,R
RAW,O4,TRAIL,2019-03-11,3871.61,4103.91,6.0,,3.19,SL,18,-1.0
RAW,O4,TRAIL,2019-04-24,5415.0,5739.9,6.0,,3.06,TRAIL,1,0.482
RAW,O4,TRAIL,2019-04-24,5415.0,5739.9,6.0,,3.06,TRAIL,1,0.482
RAW,O4,TRAIL,2019-04-24,5415.0,5739.9,6.0,,3.06,TRAIL,1,0.482
RAW,O4,TRAIL,2019-05-07,5846.34,6197.12,6.0,,3.12,SL,2,-1.0
RAW,O4,TRAIL,2019-06-18,9081.55,9626.44,6.0,,4.47,SL,3,-1.0
RAW,O4,TRAIL,2019-06-18,9081.55,9626.44,6.0,,4.47,SL,3,-1.0
RAW,O4,TRAIL,2019-06-18,9081.55,9626.44,6.0,,4.47,SL,3,-1.0
RAW,O4,TRAIL,2019-07-11,11342.89,12023.46,6.0,,6.8,TRAIL,2,-0.328
RAW,O4,TRAIL,2019-07-23,9864.91,10456.8,6.0,,8.36,TRAIL,4,-0.419
RAW,O4,TRAIL,2019-08-06,11481.69,12170.59,6.0,,6.32,TRAIL,8,1.345
RAW,O4,TRAIL,2019-08-22,10099.88,10705.87,6.0,,6.65,TRAIL,6,-0.231
RAW,O4,TRAIL,2019-09-07,10455.88,11083.23,6.0,,5.58,TRAIL,5,0.039
RAW,O4,TRAIL,2019-10-05,8126.19,8613.76,6.0,,5.83,TRAIL,2,-0.181
RAW,O4,TRAIL,2019-10-30,9154.72,9704.0,6.0,,5.45,TRAIL,9,-0.028
RAW,O4,TRAIL,2019-12-02,7294.28,7731.94,6.0,,5.87,TRAIL,2,-0.428
RAW,O4,TRAIL,2019-12-10,7224.13,7657.58,6.0,,5.51,TRAIL,7,0.699
RAW,O4,TRAIL,2019-12-24,7255.77,7691.12,6.0,,5.05,TRAIL,10,0.087
RAW,O4,TRAIL,2020-01-09,7817.76,8286.83,6.0,,4.27,SL,5,-1.0
RAW,O4,TRAIL,2020-02-02,9331.51,9891.4,6.0,,3.62,TRAIL,3,-0.162
RAW,O4,TRAIL,2020-02-02,9331.51,9891.4,6.0,,3.62,TRAIL,3,-0.162
RAW,O4,TRAIL,2020-03-08,8033.31,8515.31,6.0,,4.85,TRAIL,1,0.065
RAW,O4,TRAIL,2020-03-27,6359.11,6740.66,6.0,,9.51,TRAIL,3,-0.146
RAW,O4,TRAIL,2020-04-21,6841.37,7251.85,6.0,,6.83,SL,2,-1.0
RAW,O4,TRAIL,2020-06-02,9518.04,10089.12,6.0,,5.45,TRAIL,9,-0.161
RAW,O4,TRAIL,2020-06-02,9518.04,10089.12,6.0,,5.45,TRAIL,9,-0.161
RAW,O4,TRAIL,2020-06-02,9518.04,10089.12,6.0,,5.45,TRAIL,9,-0.161
RAW,O4,TRAIL,2020-06-02,9518.04,10089.12,6.0,,5.45,TRAIL,9,-0.161
RAW,O4,TRAIL,2020-07-04,9135.46,9683.59,6.0,,3.92,TRAIL,2,-0.194
RAW,O4,TRAIL,2020-07-27,11029.96,11691.76,6.0,,2.88,TRAIL,1,0.243
RAW,O4,TRAIL,2020-07-27,11029.96,11691.76,6.0,,2.88,TRAIL,1,0.243
RAW,O4,TRAIL,2020-07-27,11029.96,11691.76,6.0,,2.88,TRAIL,1,0.243
RAW,O4,TRAIL,2020-09-02,11388.54,12071.85,6.0,,3.56,TRAIL,1,1.571
