mode,opt,tp_ratio,entry_date,entry,sl,sl_pct,tp_pct,apct,outcome,bars,R
RAW,O5,3x,2019-03-11,3871.61,4025.71,3.98,-11.94,3.19,SL,5,-1.0
RAW,O5,3x,2019-04-24,5415.0,5843.37,7.91,-23.73,3.06,SL,9,-1.0
RAW,O5,3x,2019-04-24,5415.0,5843.37,7.91,-23.73,3.06,SL,9,-1.0
RAW,O5,3x,2019-04-24,5415.0,5843.37,7.91,-23.73,3.06,SL,9,-1.0
RAW,O5,3x,2019-05-07,5846.34,6254.78,6.99,-20.96,3.12,SL,3,-1.0
RAW,O5,3x,2019-06-18,9081.55,9718.11,7.01,-21.03,4.47,SL,3,-1.0
RAW,O5,3x,2019-06-18,9081.55,9718.11,7.01,-21.03,4.47,SL,3,-1.0
RAW,O5,3x,2019-06-18,9081.55,9718.11,7.01,-21.03,4.47,SL,3,-1.0
RAW,O5,3x,2019-07-11,11342.89,13307.59,17.32,-51.96,6.8,TP,245,3.0
RAW,O5,3x,2019-07-23,9864.91,11508.17,16.66,-49.97,8.36,SL,13,-1.0
RAW,O5,3x,2019-08-06,11481.69,12855.62,11.97,-35.9,6.32,TP,78,3.0
RAW,O5,3x,2019-08-22,10099.88,10748.76,6.42,-19.27,6.65,SL,12,-1.0
RAW,O5,3x,2019-09-07,10455.88,11007.23,5.27,-15.82,5.58,TP,17,3.0
RAW,O5,3x,2019-10-05,8126.19,8546.64,5.17,-15.52,5.83,SL,4,-1.0
RAW,O5,3x,2019-10-30,9154.72,9892.96,8.06,-24.19,5.45,TP,23,3.0
RAW,O5,3x,2019-12-02,7294.28,7788.99,6.78,-20.35,5.87,SL,35,-1.0
RAW,O5,3x,2019-12-10,7224.13,7910.46,9.5,-28.5,5.51,SL,28,-1.0
RAW,O5,3x,2019-12-24,7255.77,7696.51,6.07,-18.22,5.05,SL,13,-1.0
RAW,O5,3x,2020-01-09,7817.76,8328.05,6.53,-19.58,4.27,SL,5,-1.0
RAW,O5,3x,2020-02-02,9331.51,9763.45,4.63,-13.89,3.62,SL,4,-1.0
RAW,O5,3x,2020-02-02,9331.51,9763.45,4.63,-13.89,3.62,SL,4,-1.0
RAW,O5,3x,2020-03-08,8033.31,9342.83,16.3,-48.9,4.85,TP,5,3.0
RAW,O5,3x,2020-03-27,6359.11,7479.94,17.63,-52.88,9.51,SL,27,-1.0
RAW,O5,3x,2020-04-21,6841.37,7244.3,5.89,-17.67,6.83,SL,2,-1.0
RAW,O5,3x,2020-06-02,9518.04,10750.11,12.94,-38.83,5.45,SL,55,-1.0
RAW,O5,3x,2020-06-02,9518.04,10750.11,12.94,-38.83,5.45,SL,55,-1.0
RAW,O5,3x,2020-06-02,9518.04,10750.11,12.94,-38.83,5.45,SL,55,-1.0
RAW,O5,3x,2020-06-02,9518.04,10750.11,12.94,-38.83,5.45,SL,55,-1.0
RAW,O5,3x,2020-07-04,9135.46,9393.68,2.83,-8.48,3.92,SL,4,-1.0
RAW,O5,3x,2020-07-27,11029.96,11681.86,5.91,-17.73,2.88,SL,5,-1.0
RAW,O5,3x,2020-07-27,11029.96,11681.86,5.91,-17.73,2.88,SL,5,-1.0
RAW,O5,3x,2020-07-27,11029.96,11681.86,5.91,-17.73,2.88,SL,5,-1.0
RAW,O5,3x,2020-09-02,11388.54,12278.35,7.81,-23.44,3.56,SL,49,-1.0
RAW,O5,3x,2020-09-02,11388.54,12278.35,7.81,-23.44,3.56,SL,49,-1.0
RAW,O5,3x,2020-09-02,11388.54,12278.35,7.81,-23.44,3.56,SL,49,-1.0
RAW,O5,3x,2020-09-20,10920.28,11498.92,5.3,-15.9,3.86,SL,22,-1.0
RAW,O5,3x,2020-10-01,10619.13,11207.35,5.54,-16.62,3.71,SL,9,-1.0
RAW,O5,3x,2020-12-21,22719.71,25330.19,11.49,-34.47,4.35,SL,5,-1.0
RAW,O5,3x,2020-12-21,22719.71,25330.19,11.49,-34.47,4.35,SL,5,-1.0
RAW,O5,3x,2020-12-21,22719.71,25330.19,11.49,-34.47,4.35,SL,5,-1.0
RAW,O5,3x,2020-12-21,22719.71,25330.19,11.49,-34.47,4.35,SL,5,-1.0
RAW,O5,3x,2021-01-31,33092.98,37402.67,13.02,-39.07,8.49,SL,3,-1.0
RAW,O5,3x,2021-01-31,33092.98,37402.67,13.02,-39.07,8.49,SL,3,-1.0
RAW,O5,3x,2021-03-06,48882.2,52998.39,8.42,-25.26,7.41,SL,3,-1.0
RAW,O5,3x,2021-04-03,57051.94,62760.57,10.01,-30.02,5.94,SL,10,-1.0
RAW,O5,3x,2021-04-03,57051.94,62760.57,10.01,-30.02,5.94,SL,10,-1.0
RAW,O5,3x,2021-05-04,53200.01,60449.28,13.63,-40.88,6.26,TP,15,3.0
RAW,O5,3x,2021-05-29,34605.15,42821.86,23.74,-71.23,12.49,SL,69,-1.0
RAW,O5,3x,2021-05-29,34605.15,42821.86,23.74,-71.23,12.49,SL,69,-1.0
RAW,O5,3x,2021-06-05,35513.2,42653.7,20.11,-60.32,11.32,SL,62,-1.0
RAW,O5,3x,2021-06-16,38349.01,43193.27,12.63,-37.9,9.53,SL,51,-1.0
RAW,O5,3x,2021-07-01,33504.69,37941.79,13.24,-39.73,9.91,SL,25,-1.0
RAW,O5,3x,2021-07-01,33504.69,37941.79,13.24,-39.73,9.91,SL,25,-1.0
RAW,O5,3x,2021-08-01,39845.44,44695.16,12.17,-36.51,6.2,SL,6,-1.0
RAW,O5,3x,2021-09-19,47241.75,50541.26,6.98,-20.95,5.03,SL,16,-1.0
RAW,O5,3x,2021-09-19,47241.75,50541.26,6.98,-20.95,5.03,SL,16,-1.0
RAW,O5,3x,2021-09-19,47241.75,50541.26,6.98,-20.95,5.03,SL,16,-1.0
RAW,O5,3x,2021-09-19,47241.75,50541.26,6.98,-20.95,5.03,SL,16,-1.0
RAW,O5,3x,2021-10-08,53951.43,58320.65,8.1,-24.3,4.86,SL,6,-1.0
