mode,opt,combo_mode,tp_ratio,trail_variant,entry_date,entry,sl,sl_pct,tp_pct,apct,outcome,bars,R
V11,O1,A,1x,,2026-06-24,61077.99,67185.79,10.0,-10.0,3.74,EXP,16,-0.303
V11G,O1,A,1x,,2026-06-24,61077.99,67185.79,10.0,-10.0,3.74,EXP,16,-0.303
V11,O1,A,2x,,2026-06-24,61077.99,67185.79,10.0,-20.0,3.74,EXP,16,-0.303
V11G,O1,A,2x,,2026-06-24,61077.99,67185.79,10.0,-20.0,3.74,EXP,16,-0.303
V11,O1,A,3x,,2026-06-24,61077.99,67185.79,10.0,-30.0,3.74,EXP,16,-0.303
V11G,O1,A,3x,,2026-06-24,61077.99,67185.79,10.0,-30.0,3.74,EXP,16,-0.303
V11,O2,A,1x,,2026-06-24,61077.99,67865.4,11.11,-11.11,3.74,EXP,16,-0.272
V11G,O2,A,1x,,2026-06-24,61077.99,67865.4,11.11,-11.11,3.74,EXP,16,-0.272
V11,O2,A,2x,,2026-06-24,61077.99,67865.4,11.11,-22.23,3.74,EXP,16,-0.272
V11G,O2,A,2x,,2026-06-24,61077.99,67865.4,11.11,-22.23,3.74,EXP,16,-0.272
V11,O2,A,3x,,2026-06-24,61077.99,67865.4,11.11,-33.34,3.74,EXP,16,-0.272
V11G,O2,A,3x,,2026-06-24,61077.99,67865.4,11.11,-33.34,3.74,EXP,16,-0.272
V11,O3,A,1x,,2026-06-24,61077.99,63360.41,3.74,-3.74,3.74,TP,1,1.0
V11G,O3,A,1x,,2026-06-24,61077.99,63360.41,3.74,-3.74,3.74,TP,1,1.0
V11,O3,A,2x,,2026-06-24,61077.99,63360.41,3.74,-7.47,3.74,SL,10,-1.0
V11G,O3,A,2x,,2026-06-24,61077.99,63360.41,3.74,-7.47,3.74,SL,10,-1.0
V11,O3,A,3x,,2026-06-24,61077.99,63360.41,3.74,-11.21,3.74,SL,10,-1.0
V11G,O3,A,3x,,2026-06-24,61077.99,63360.41,3.74,-11.21,3.74,SL,10,-1.0
V11,O4,A,1x,,2026-06-24,61077.99,64742.67,6.0,-6.0,3.74,EXP,16,-0.504
V11G,O4,A,1x,,2026-06-24,61077.99,64742.67,6.0,-6.0,3.74,EXP,16,-0.504
V11,O4,A,2x,,2026-06-24,61077.99,64742.67,6.0,-12.0,3.74,EXP,16,-0.504
V11G,O4,A,2x,,2026-06-24,61077.99,64742.67,6.0,-12.0,3.74,EXP,16,-0.504
V11,O4,A,3x,,2026-06-24,61077.99,64742.67,6.0,-18.0,3.74,EXP,16,-0.504
V11G,O4,A,3x,,2026-06-24,61077.99,64742.67,6.0,-18.0,3.74,EXP,16,-0.504
V11,O5,A,1x,,2026-06-24,61077.99,65481.63,7.21,-7.21,3.74,EXP,16,-0.42
V11G,O5,A,1x,,2026-06-24,61077.99,65481.63,7.21,-7.21,3.74,EXP,16,-0.42
V11,O5,A,2x,,2026-06-24,61077.99,65481.63,7.21,-14.42,3.74,EXP,16,-0.42
V11G,O5,A,2x,,2026-06-24,61077.99,65481.63,7.21,-14.42,3.74,EXP,16,-0.42
V11,O5,A,3x,,2026-06-24,61077.99,65481.63,7.21,-21.63,3.74,EXP,16,-0.42
V11G,O5,A,3x,,2026-06-24,61077.99,65481.63,7.21,-21.63,3.74,EXP,16,-0.42
V11,O1,B,1x,ATR,2026-06-24,61077.99,67185.79,10.0,-10.0,3.74,TRAIL,1,0.13
V11G,O1,B,1x,ATR,2026-06-24,61077.99,67185.79,10.0,-10.0,3.74,TRAIL,1,0.13
V11,O1,B,1x,ST,2026-06-24,61077.99,67185.79,10.0,-10.0,3.74,EXP,16,-0.303
V11G,O1,B,1x,ST,2026-06-24,61077.99,67185.79,10.0,-10.0,3.74,EXP,16,-0.303
V11,O1,B,1x,RB,2026-06-24,61077.99,67185.79,10.0,-10.0,3.74,EXP,16,-0.303
V11G,O1,B,1x,RB,2026-06-24,61077.99,67185.79,10.0,-10.0,3.74,EXP,16,-0.303
V11,O1,B,2x,ATR,2026-06-24,61077.99,67185.79,10.0,-20.0,3.74,TRAIL,1,0.13
V11G,O1,B,2x,ATR,2026-06-24,61077.99,67185.79,10.0,-20.0,3.74,TRAIL,1,0.13
V11,O1,B,2x,ST,2026-06-24,61077.99,67185.79,10.0,-20.0,3.74,EXP,16,-0.303
V11G,O1,B,2x,ST,2026-06-24,61077.99,67185.79,10.0,-20.0,3.74,EXP,16,-0.303
V11,O1,B,2x,RB,2026-06-24,61077.99,67185.79,10.0,-20.0,3.74,EXP,16,-0.303
V11G,O1,B,2x,RB,2026-06-24,61077.99,67185.79,10.0,-20.0,3.74,EXP,16,-0.303
V11,O1,B,3x,ATR,2026-06-24,61077.99,67185.79,10.0,-30.0,3.74,TRAIL,1,0.13
V11G,O1,B,3x,ATR,2026-06-24,61077.99,67185.79,10.0,-30.0,3.74,TRAIL,1,0.13
V11,O1,B,3x,ST,2026-06-24,61077.99,67185.79,10.0,-30.0,3.74,EXP,16,-0.303
V11G,O1,B,3x,ST,2026-06-24,61077.99,67185.79,10.0,-30.0,3.74,EXP,16,-0.303
V11,O1,B,3x,RB,2026-06-24,61077.99,67185.79,10.0,-30.0,3.74,EXP,16,-0.303
V11G,O1,B,3x,RB,2026-06-24,61077.99,67185.79,10.0,-30.0,3.74,EXP,16,-0.303
V11,O2,B,1x,ATR,2026-06-24,61077.99,67865.4,11.11,-11.11,3.74,TRAIL,1,0.117
V11G,O2,B,1x,ATR,2026-06-24,61077.99,67865.4,11.11,-11.11,3.74,TRAIL,1,0.117
V11,O2,B,1x,ST,2026-06-24,61077.99,67865.4,11.11,-11.11,3.74,EXP,16,-0.272
V11G,O2,B,1x,ST,2026-06-24,61077.99,67865.4,11.11,-11.11,3.74,EXP,16,-0.272
V11,O2,B,1x,RB,2026-06-24,61077.99,67865.4,11.11,-11.11,3.74,EXP,16,-0.272
V11G,O2,B,1x,RB,2026-06-24,61077.99,67865.4,11.11,-11.11,3.74,EXP,16,-0.272
V11,O2,B,2x,ATR,2026-06-24,61077.99,67865.4,11.11,-22.23,3.74,TRAIL,1,0.117
V11G,O2,B,2x,ATR,2026-06-24,61077.99,67865.4,11.11,-22.23,3.74,TRAIL,1,0.117
V11,O2,B,2x,ST,2026-06-24,61077.99,67865.4,11.11,-22.23,3.74,EXP,16,-0.272
V11G,O2,B,2x,ST,2026-06-24,61077.99,67865.4,11.11,-22.23,3.74,EXP,16,-0.272
V11,O2,B,2x,RB,2026-06-24,61077.99,67865.4,11.11,-22.23,3.74,EXP,16,-0.272
V11G,O2,B,2x,RB,2026-06-24,61077.99,67865.4,11.11,-22.23,3.74,EXP,16,-0.272
V11,O2,B,3x,ATR,2026-06-24,61077.99,67865.4,11.11,-33.34,3.74,TRAIL,1,0.117
V11G,O2,B,3x,ATR,2026-06-24,61077.99,67865.4,11.11,-33.34,3.74,TRAIL,1,0.117
V11,O2,B,3x,ST,2026-06-24,61077.99,67865.4,11.11,-33.34,3.74,EXP,16,-0.272
V11G,O2,B,3x,ST,2026-06-24,61077.99,67865.4,11.11,-33.34,3.74,EXP,16,-0.272
V11,O2,B,3x,RB,2026-06-24,61077.99,67865.4,11.11,-33.34,3.74,EXP,16,-0.272
V11G,O2,B,3x,RB,2026-06-24,61077.99,67865.4,11.11,-33.34,3.74,EXP,16,-0.272
V11,O3,B,1x,ATR,2026-06-24,61077.99,63360.41,3.74,-3.74,3.74,TP,1,1.0
