ts,open,high,low,close,volume
1784441700,3.807095676664911e-05,4.016254975874213e-05,3.807095676664911e-05,4.016254975874213e-05,0.1569829186129761
1784442600,4.016254975874213e-05,4.3684252828756477e-05,4.016254975874213e-05,4.3684252828756477e-05,0.09291144206469104
1784443500,4.3684252828756477e-05,4.750811310846318e-05,4.3684252828756477e-05,4.750811310846318e-05,0.0937935660967551
1784444400,4.750811310846318e-05,5.155317578689664e-05,4.750811310846318e-05,5.155317578689664e-05,0.0986033058774593
1784445300,5.155317578689664e-05,5.735477048918944e-05,5.155317578689664e-05,5.735477048918944e-05,0.13184100271912907
1784446200,5.735477048918944e-05,6.112552318982693e-05,5.735477048918944e-05,6.112552318982693e-05,0.14328884326808472
1784447100,6.112552318982693e-05,6.732180877369656e-05,6.112552318982693e-05,6.732180877369656e-05,0.37695700900995244
1784448000,6.732180877369656e-05,7.38424793226604e-05,6.732180877369656e-05,7.38424793226604e-05,0.36181606601416016
1784448900,7.38424793226604e-05,7.38424793226604e-05,8.272796772015344e-07,2.8377718143851533e-06,33.917566954404876
1784450700,2.8377718143851533e-06,3.7001895489211466e-06,2.8377718143851533e-06,3.7001895489211466e-06,4.879046244853748
1784457000,3.7001895489211466e-06,3.7001895489211466e-06,3.0296164918762644e-06,3.0296164918762644e-06,0.6656634108571611
