ts,open,high,low,close,volume
1784197800,1.5714126348486932e-05,2.057967678236378e-05,1.5714126348486932e-05,1.902301716666667e-05,540.254157156
1784199600,1.902301716666667e-05,2.0690431492252668e-05,1.6741547376729197e-05,1.816409852572976e-05,339.67303692099995
1784201400,1.816409852572976e-05,1.94314522189774e-05,1.395393160707189e-05,1.5726271331227077e-05,410.573151605
1784203200,1.5726271331227077e-05,1.5834667995683495e-05,1.3596670459101384e-05,1.3669701066823517e-05,255.50590942200003
1784205000,1.3669701066823517e-05,1.476025246728158e-05,1.213750357535847e-05,1.466752870007861e-05,460.2882833769999
1784206800,1.466752870007861e-05,1.6042061494305636e-05,1.3108903193542557e-05,1.3454693829322114e-05,245.78364653300002
1784208600,1.3454693829322114e-05,1.34943538440998e-05,1.0813039884531102e-05,1.1702450500053864e-05,533.8140385280001
1784210400,1.1702450500053864e-05,1.465131511496342e-05,1.1089293101986915e-05,1.3923373046828934e-05,317.405440247
1784212200,1.3923373046828934e-05,1.6343309162770223e-05,1.37518199844831e-05,1.5050202485200016e-05,213.81986625900004
1784214000,1.5050202485200016e-05,1.5983418456443334e-05,1.3833336346937592e-05,1.4812519598882697e-05,165.693587164
1784215800,1.4812519598882697e-05,1.6463939086182736e-05,1.4275512710141703e-05,1.5088061347129549e-05,282.554536452
1784217600,1.5088061347129549e-05,1.6067317529919358e-05,1.1779353146202251e-05,1.3498340446341938e-05,293.828375095
1784219400,1.3498340446341938e-05,1.4862032087488383e-05,9.337412329176708e-06,1.360336370912634e-05,715.457594465
1784221200,1.360336370912634e-05,1.3726965281889214e-05,1.1893543988698648e-05,1.2446541246970109e-05,244.89381959700003
1784223000,1.2446541246970109e-05,1.3161463045536926e-05,1.1867673327908696e-05,1.2498095440506494e-05,231.59382605599998
1784224800,1.2498095440506494e-05,1.285135043106848e-05,1.0985117668423212e-05,1.1283222584047177e-05,267.552045831
1784226600,1.1283222584047177e-05,1.4398134058140628e-05,1.0184670753144738e-05,1.4219193557437396e-05,424.955097215
1784228400,1.4219193557437396e-05,1.5933058552475407e-05,1.2729578754450885e-05,1.3821595850774168e-05,357.86619579800004
1784230200,1.3821595850774168e-05,1.6809525905487244e-05,1.3226296359171616e-05,1.3996958895069892e-05,286.22863319199996
1784232000,1.3996958895069892e-05,1.6144010064414878e-05,1.3711636755444374e-05,1.581781346545508e-05,204.166930773
1784233800,1.581781346545508e-05,1.6055814465277557e-05,9.960231056413007e-06,1.2358624156050446e-05,766.301666991
1784235600,1.2358624156050446e-05,1.279817729851123e-05,1.1538490325124909e-05,1.2061839631443264e-05,182.28659881100003
1784237400,1.2061839631443264e-05,1.259588489485018e-05,1.1808188317222143e-05,1.2421059263299953e-05,109.34632456399999
1784239200,1.2421059263299953e-05,1.281404984136228e-05,1.2216226803919891e-05,1.2280518957274165e-05,75.34743355699999
1784241000,1.2280518957274165e-05,1.2762814704160858e-05,1.0463590821214257e-05,1.1101930717877506e-05,224.45536978999996
1784242800,1.1101930717877506e-05,1.175939081601887e-05,1.07486646404105e-05,1.1162945095855802e-05,118.94806250399998
1784244600,1.1162945095855802e-05,1.2765492060002143e-05,1.0704418284296458e-05,1.1798273942930683e-05,175.642335106
1784246400,1.1798273942930683e-05,1.3417218743608856e-05,1.1262286542232745e-05,1.214403366291896e-05,188.594728014
