ts,open,high,low,close,volume
1784422800,4.1840010672779835e-10,1.396083456088899e-07,4.1840010672779835e-10,1.1992964287397118e-07,169492.208922608
1784424600,1.1992964287397118e-07,2.174223312112029e-07,1.1666211146573857e-07,2.161527370247616e-07,74523.625754096
1784426400,2.161527370247616e-07,2.8006093930953845e-07,2.161527370247616e-07,2.783337223311826e-07,38209.665370102986
1784428200,2.783337223311826e-07,3.3234506266545933e-07,2.780554480920213e-07,3.278030400603546e-07,38201.969616040995
1784430000,3.278030400603546e-07,3.728556856124583e-07,3.271138879316199e-07,3.704462004248212e-07,38158.128974773994
1784431800,3.704462004248212e-07,3.941104972011201e-07,3.5634324317046817e-07,3.912987858444481e-07,35685.654528240004
1784433600,3.912987858444481e-07,4.730933369033069e-07,3.8777804554022427e-07,4.705958053058637e-07,38488.859636003996
1784435400,4.705958053058637e-07,5.837403382378237e-07,4.697201086546388e-07,5.80393905678613e-07,38757.05316656199
1784437200,5.80393905678613e-07,7.172546879502899e-07,5.785801086505484e-07,7.130617245726343e-07,34439.420453463
1784439000,7.130617245726343e-07,8.525445038366782e-07,7.038562054534599e-07,8.479472198440894e-07,33288.205217965
1784440800,8.479472198440894e-07,9.707160739711676e-07,8.479472198440894e-07,9.64855386172735e-07,32928.830453339004
1784442600,9.64855386172735e-07,1.1682823144132838e-06,9.64855386172735e-07,1.1625951628373189e-06,33071.277305764
1784444400,1.1625951628373189e-06,1.4033339696274209e-06,1.1625951628373189e-06,1.3962632094625936e-06,33204.525610721
1784446200,1.3962632094625936e-06,1.620980161448546e-06,1.3962632094625936e-06,1.6099473458856292e-06,32891.766907026
1784448000,1.6099473458856292e-06,1.7842534408702276e-06,5.149261260876596e-07,5.232241437638876e-07,20861.216575469
