ts,open,high,low,close,volume
1784440800,2.0152979649512e-05,2.1999110418683e-05,2.0152979649512e-05,2.0314203486708e-05,281.8213105794513
1784442600,2.0476717114602e-05,2.0972100339118e-05,1.999303536658e-05,2.0640530851519e-05,116.6607286091072
1784444400,2.0476717114602e-05,2.0476717114602e-05,1.9059677223827e-05,1.9059677223827e-05,103.09428350803202
1784446200,1.9212154641618e-05,2.0152979649512e-05,1.9212154641618e-05,2.0152979649512e-05,54.77507942488498
1784448000,1.999303536658e-05,2.3261024799562e-05,1.999303536658e-05,2.2175103302033e-05,331.071560165583
1784449800,2.2531324161476e-05,2.7717914495809e-05,2.1479468128237e-05,2.4400124200379e-05,497.16633062928486
1784451600,2.4400124200379e-05,2.4400124200379e-05,2.2175103302033e-05,2.2175103302033e-05,156.76352173426136
1784453400,2.2175103302033e-05,2.2531324161476e-05,2.2175103302033e-05,2.2175103302033e-05,47.718027527683006
1784455200,2.1824514304249e-05,2.1824514304249e-05,2.1139877141831e-05,2.1479468128237e-05,89.16154614383056
1784457000,2.1651303873263e-05,2.1651303873263e-05,2.1651303873263e-05,2.1651303873263e-05,7.511998359053917
