ts,open,high,low,close,volume
1784197800,2.3287786606110495e-05,2.3287786606110495e-05,2.1337517186743274e-05,2.261559096398417e-05,651.735094724
1784199600,2.261559096398417e-05,2.265449791573644e-05,1.931733897209135e-05,1.9652521840090285e-05,532.306357988
1784201400,1.9652521840090285e-05,2.07529400532838e-05,1.8882570325940195e-05,1.949320455338231e-05,389.24214449000004
1784203200,1.949320455338231e-05,1.9923526742761553e-05,1.736066158190199e-05,1.7515250521156497e-05,395.875360776
1784205000,1.7515250521156497e-05,1.796514099212884e-05,1.5812225331928542e-05,1.6982736798198128e-05,826.6796355770001
1784206800,1.6982736798198128e-05,1.7759850615911733e-05,1.6487873597541034e-05,1.7626063395232193e-05,325.020213825
1784208600,1.7626063395232193e-05,1.767398708195819e-05,1.6076713366124127e-05,1.645045396218495e-05,246.40351058999994
1784210400,1.645045396218495e-05,1.7274792384375346e-05,1.576932348171144e-05,1.6926102461380272e-05,348.888826926
1784212200,1.6926102461380272e-05,1.6926102461380272e-05,1.5220110228065733e-05,1.5562085130692e-05,314.34044167900004
1784214000,1.5562085130692e-05,1.7984565716842846e-05,1.4728273314674416e-05,1.7348579781884866e-05,557.044034183
1784215800,1.7348579781884866e-05,2.525107500963329e-05,1.7133679254768487e-05,2.132731341427254e-05,2842.765009298
1784217600,2.132731341427254e-05,2.2101415971609548e-05,1.8741273478177908e-05,2.0725153465735507e-05,665.499085837
1784219400,2.0725153465735507e-05,2.3920466297690494e-05,2.0507289925592047e-05,2.122625808948658e-05,599.7663860170001
1784221200,2.122625808948658e-05,2.2228972229386223e-05,1.8919688713628756e-05,2.031988589641142e-05,866.7950186890001
1784223000,2.031988589641142e-05,2.1040764704711177e-05,1.7450419447013656e-05,1.7728880483781286e-05,611.83427313
1784224800,1.7728880483781286e-05,1.7740183921695388e-05,1.3563324493185012e-05,1.4045980991666946e-05,1530.751352359
1784226600,1.4045980991666946e-05,1.5776545868791262e-05,1.3792761827537226e-05,1.519328512616938e-05,637.0840011739999
1784228400,1.519328512616938e-05,1.609653490608181e-05,1.4668697054274055e-05,1.4758699221611783e-05,634.856197632
1784230200,1.4758699221611783e-05,1.52812313718075e-05,1.291863862338016e-05,1.3457388888586391e-05,540.081234609
1784232000,1.3457388888586391e-05,1.3864195130334706e-05,1.1557113011604884e-05,1.2657198990709152e-05,926.9733878729999
1784233800,1.2657198990709152e-05,1.3177897743328543e-05,1.1827949152316834e-05,1.2629797457835109e-05,333.49852546
1784235600,1.2629797457835109e-05,1.3967970519467746e-05,1.2407116383248852e-05,1.2909659919953548e-05,478.150124483
1784237400,1.2909659919953548e-05,1.3059985498331603e-05,1.2089287754758444e-05,1.2462469842910712e-05,265.85666461100004
1784239200,1.2462469842910712e-05,1.2701778554623834e-05,1.167368045328038e-05,1.1914077609066478e-05,216.54546916599998
1784241000,1.1914077609066478e-05,1.213554940236458e-05,1.0107344061696671e-05,1.0742736893666698e-05,592.836639694
1784242800,1.0742736893666698e-05,1.140634770010384e-05,9.889944707267632e-06,1.113608207125607e-05,486.280481401
1784244600,1.113608207125607e-05,1.1329459148221831e-05,9.086467698972882e-06,9.331325532748707e-06,425.168158685
1784246400,9.331325532748707e-06,9.699274906073023e-06,7.0777748634568745e-06,8.044394558171257e-06,1369.999434917
1784248200,8.044394558171257e-06,9.188164363967382e-06,7.446290103648615e-06,9.023495751789436e-06,485.976130084
1784250000,9.023495751789436e-06,9.955388502238384e-06,7.961728419715143e-06,8.086323283440279e-06,412.78866716900006
1784251800,8.086323283440279e-06,1.0978416261030587e-05,7.652575382496513e-06,9.857766525274746e-06,1677.997413857
1784253600,9.857766525274746e-06,9.990177920268803e-06,8.931743529980892e-06,9.157052832904962e-06,343.897835736
1784255400,9.157052832904962e-06,9.943811422840809e-06,8.828496881057952e-06,9.94288194826162e-06,228.032132714
1784257200,9.94288194826162e-06,1.1524588114311237e-05,9.286741617640546e-06,1.136493111911461e-05,437.0673232749999
1784259000,1.136493111911461e-05,1.136493111911461e-05,1.0065251569376148e-05,1.0752862403981987e-05,225.253569532
1784260800,1.0752862403981987e-05,1.0815109581698396e-05,9.32811790292514e-06,9.70862875238553e-06,233.87458675
1784262600,9.70862875238553e-06,9.728464980929712e-06,8.80902552682844e-06,8.934190626615924e-06,232.41835854700003
1784264400,8.934190626615924e-06,9.135431363895992e-06,8.763282311265853e-06,8.763282311265853e-06,367.74452979399996
1784266200,8.763282311265853e-06,9.594626836735131e-06,8.055606461227035e-06,9.271670848524195e-06,545.51909196
1784268000,9.271670848524195e-06,1.0067196484692498e-05,9.059671726883836e-06,9.388967832672462e-06,283.85970865599995
1784269800,9.388967832672462e-06,1.0430787925882632e-05,9.166919162285869e-06,1.0217451905897149e-05,215.875393289
1784271600,1.0217451905897149e-05,1.3059094081963648e-05,1.0092014502836794e-05,1.2262306043364097e-05,4304.9090425099985
1784273400,1.2262306043364097e-05,1.413356833409157e-05,1.1893552484066356e-05,1.2813832590487046e-05,859.889570947
1784275200,1.2813832590487046e-05,1.602153974728012e-05,1.2783086980950462e-05,1.393618757654796e-05,803.0654730660001
1784277000,1.393618757654796e-05,1.5809802718065494e-05,1.2688704862586409e-05,1.3491105672421482e-05,489.4030232220001
1784278800,1.3491105672421482e-05,1.8040504354490927e-05,1.314039851462244e-05,1.5769742173842732e-05,1955.5982780080003
1784280600,1.5769742173842732e-05,1.82279290697073e-05,1.5193252505838907e-05,1.6891426842345243e-05,777.5368045289999
1784282400,1.6891426842345243e-05,1.7015718900553242e-05,1.5465014366666665e-05,1.6071823744330013e-05,435.51491385399993
1784284200,1.6071823744330013e-05,1.6265547868563157e-05,1.420401740092279e-05,1.437495840097356e-05,290.03187134700005
1784286000,1.437495840097356e-05,1.5632286262292644e-05,1.3600772260832472e-05,1.4643982690258816e-05,377.08442981299993
1784287800,1.4643982690258816e-05,1.6854187594278448e-05,1.4643982690258816e-05,1.602239703998862e-05,1303.204309692
1784289600,1.602239703998862e-05,1.636899400791092e-05,1.39879036174707e-05,1.4959368352728672e-05,407.3422558800001
1784291400,1.4959368352728672e-05,1.5630107887980008e-05,1.4255700427786036e-05,1.4827326178974076e-05,283.902066837
1784293200,1.4827326178974076e-05,1.4884812992840933e-05,1.2102683398092351e-05,1.26658117760425e-05,571.2721148319999
1784295000,1.26658117760425e-05,1.469548030609934e-05,1.2595525166659384e-05,1.4055572267094225e-05,369.513745713
1784296800,1.4055572267094225e-05,1.5118345001390756e-05,1.336516153057466e-05,1.3826126739591625e-05,346.5205304340001
1784298600,1.3826126739591625e-05,1.4001465415996516e-05,9.87995710663923e-06,1.105679842699683e-05,1160.093343053
1784300400,1.105679842699683e-05,1.2021431219375944e-05,9.737770897283592e-06,1.137278993572579e-05,687.578228175
1784302200,1.137278993572579e-05,1.2272492291526753e-05,9.64343374323462e-06,9.64343374323462e-06,353.626768695
1784304000,9.64343374323462e-06,1.0272167059307835e-05,8.669256768035048e-06,9.847014127157817e-06,828.6673729720003
1784305800,9.847014127157817e-06,1.060245667033823e-05,9.424259067773098e-06,9.8659802e-06,251.913688095
1784307600,9.8659802e-06,1.130365780647016e-05,9.592746219329298e-06,1.130365780647016e-05,317.28414433499995
1784309400,1.130365780647016e-05,1.1750686856048682e-05,1.0160922067565524e-05,1.0350796268537964e-05,289.0487086339999
1784311200,1.0350796268537964e-05,1.146085511300904e-05,9.716374227303253e-06,1.1173164496818767e-05,218.60212036999997
1784313000,1.1173164496818767e-05,1.1173164496818767e-05,9.82109606638488e-06,1.0636057077219708e-05,257.78388113899996
1784314800,1.0636057077219708e-05,1.2060962199276637e-05,9.746167740760372e-06,1.2060962199276637e-05,4725.030716372
1784316600,1.2060962199276637e-05,1.3933871934003862e-05,1.1316757159202996e-05,1.19815348765647e-05,945.6534555819999
1784318400,1.19815348765647e-05,1.2354621528841378e-05,9.428027191195722e-06,1.0986055777777778e-05,866.806664003
1784320200,1.0986055777777778e-05,1.1231137802140966e-05,9.725296462379356e-06,9.725296462379356e-06,384.081077023
