ts,open,high,low,close,volume
1784269800,3.0720375556500484e-08,3.797348723304561e-07,3.0720375556500484e-08,1.819597462151562e-07,1086.724044006
1784271600,1.819597462151562e-07,2.617596371197817e-07,1.051644618888539e-07,1.520971656908941e-07,559.470225287
1784273400,1.520971656908941e-07,4.618946908178341e-07,1.1687265557540153e-07,3.0554449164065825e-07,1352.073458255
1784275200,3.0554449164065825e-07,3.516752468415075e-07,1.0574082551024797e-07,1.0574082551024797e-07,452.88390454299997
1784277000,1.0574082551024797e-07,1.733548605752904e-07,9.257071091766133e-08,1.4425400274279718e-07,151.43705219999998
1784278800,1.4425400274279718e-07,1.4425400274279718e-07,9.731392421495533e-08,1.141987932978937e-07,50.397233017
1784280600,1.141987932978937e-07,1.4248623869143e-07,1.0056080845534556e-07,1.0884643397511689e-07,40.821696771
1784282400,1.0884643397511689e-07,1.0884643397511689e-07,7.19834383075252e-08,7.861574588845174e-08,31.431158911
1784284200,7.861574588845174e-08,2.2842903657447073e-07,7.844862356449797e-08,2.0020973138588706e-07,197.86521994499998
1784286000,2.0020973138588706e-07,2.523375212440053e-07,1.4838189356131293e-07,2.0766650642387602e-07,150.85582671
1784287800,2.0766650642387602e-07,3.139555412937522e-07,1.7289105671008e-07,2.1057869008491162e-07,209.97098836299998
1784289600,2.1057869008491162e-07,3.669507970714953e-07,1.9236641248775898e-07,3.5858141260250233e-07,134.90283235200002
1784291400,3.5858141260250233e-07,3.936241604279705e-07,2.0849349511197866e-07,2.430414285797626e-07,146.345921138
1784293200,2.430414285797626e-07,3.777186123055771e-07,2.097331972909331e-07,2.31955667956414e-07,109.68087238599999
1784295000,2.31955667956414e-07,3.1732737210982237e-07,1.9209132811145002e-07,2.8097998373746893e-07,92.981974492
1784296800,2.8097998373746893e-07,5.802405762106672e-07,2.8097998373746893e-07,5.235998311112455e-07,207.64705898700004
1784298600,5.235998311112455e-07,5.89118131582375e-07,3.937795520780381e-07,4.6943878144043826e-07,272.503830338
1784300400,4.6943878144043826e-07,5.07447725071805e-07,2.381526865569925e-07,2.783944502530594e-07,190.196070377
1784302200,2.783944502530594e-07,3.329942875443859e-07,1.981291839027593e-07,2.1074226535933316e-07,93.193064679
1784304000,2.1074226535933316e-07,2.2365109147992258e-07,1.8503479617127286e-07,2.1278651954278185e-07,38.888830087
1784305800,2.1278651954278185e-07,2.47734845862914e-07,1.6631423680613955e-07,2.2654550847893489e-07,33.99493734800001
1784307600,2.2654550847893489e-07,2.762681690003371e-07,2.2457126811836338e-07,2.4823004368149586e-07,39.4209142
1784309400,2.4823004368149586e-07,2.571904635325677e-07,1.5069343407465928e-07,1.9034068618368587e-07,57.10239488799999
1784311200,1.9034068618368587e-07,1.9034068618368587e-07,1.4003290998836906e-07,1.413815360833962e-07,34.10317694400001
1784313000,1.413815360833962e-07,2.679175567350976e-07,1.3991195565932053e-07,2.508936007083959e-07,41.319099018
1784314800,2.508936007083959e-07,2.522338361133247e-07,1.9372786318033493e-07,1.9953730662036846e-07,53.182120146
1784316600,1.9953730662036846e-07,3.091217840199159e-07,1.9953730662036846e-07,2.2660886827984834e-07,40.992680495
1784318400,2.2660886827984834e-07,3.025581827952614e-07,2.1018342828561693e-07,2.948256881763346e-07,32.11281073399999
1784320200,2.948256881763346e-07,3.941751580415415e-07,1.8883498617216e-07,3.733299788348698e-07,132.234532073
1784322000,3.733299788348698e-07,5.876800246974289e-07,2.944749702261073e-07,4.783896437190257e-07,670.9307647770001
1784323800,4.783896437190257e-07,5.559246955471023e-07,3.981804062270434e-07,4.853399815372433e-07,429.10221681300004
1784325600,4.853399815372433e-07,5.391911192256068e-07,2.7670940319919044e-07,2.991943280953381e-07,188.39604908199996
1784327400,2.991943280953381e-07,3.14844539686936e-07,2.342584325165028e-07,2.6850082350642313e-07,101.626978503
1784329200,2.6850082350642313e-07,2.903783063881856e-07,2.1499336573599577e-07,2.308946551129702e-07,40.147796242999995
1784331000,2.308946551129702e-07,3.296056872024088e-07,2.1817013064261774e-07,3.253898437165019e-07,56.63367163400001
1784332800,3.253898437165019e-07,5.646147904797405e-07,3.253898437165019e-07,4.979590431990703e-07,164.38991038700001
1784334600,4.979590431990703e-07,1.280351582410153e-06,4.724860714694928e-07,1.1543708058667e-06,428.7388047389999
1784336400,1.1543708058667e-06,1.1705718299766843e-06,8.206567933046503e-07,8.718808555654431e-07,324.309442214
1784338200,8.718808555654431e-07,2.3504791842530817e-06,8.718808555654431e-07,1.660373143432208e-06,742.3245359339999
1784340000,1.660373143432208e-06,2.203124555570837e-06,1.3790998852748308e-06,1.8399781151225575e-06,633.4913845429999
1784341800,1.8399781151225575e-06,4.5814445221958165e-06,1.7089246799744e-06,3.794048505368728e-06,1926.025821443
1784343600,3.794048505368728e-06,5.598961561477234e-06,2.306340267854325e-06,3.831340754327125e-06,3516.8179109599996
1784345400,3.831340754327125e-06,3.950261881942927e-06,2.741570322103184e-06,3.0699056198557694e-06,1105.586076103
1784347200,3.0699056198557694e-06,4.41583905725009e-06,2.933020133864305e-06,3.4549127999999996e-06,1010.4719910290002
1784349000,3.4549127999999996e-06,5.6751388525604275e-06,3.164660436783089e-06,4.091767615642215e-06,1729.9318632270001
1784350800,4.091767615642215e-06,4.921623345504961e-06,3.4577615328693188e-06,3.530134568034303e-06,827.578880669
1784352600,3.530134568034303e-06,3.596038657397918e-06,3.018615571495029e-06,3.4763507064676295e-06,490.715830342
1784354400,3.4763507064676295e-06,3.490029303100855e-06,2.5161800367072807e-06,2.8459218797959005e-06,446.214233671
1784356200,2.8459218797959005e-06,3.1060208388045923e-06,2.5388733663721004e-06,2.903441003151791e-06,313.07470933900004
1784358000,2.903441003151791e-06,2.976537259218415e-06,2.579845538224198e-06,2.7205552867966633e-06,351.873578672
1784359800,2.7205552867966633e-06,2.8337086300835956e-06,2.1229690792523942e-06,2.4411631404258066e-06,379.88111389799997
1784361600,2.4411631404258066e-06,2.563876620323431e-06,1.6687353151699242e-06,1.986857443414266e-06,652.5199168679999
1784363400,1.986857443414266e-06,2.1169189786363755e-06,1.472615171125963e-06,1.678369877831994e-06,380.95543350299994
1784365200,1.678369877831994e-06,1.8802556239243023e-06,1.5000380562193782e-06,1.642909133851073e-06,189.19422581999999
1784367000,1.642909133851073e-06,1.9216046353726614e-06,1.5826095960636797e-06,1.8775015652409371e-06,196.42997919700002
1784368800,1.8775015652409371e-06,2.058235830933946e-06,1.5514496366474349e-06,1.7067410598178773e-06,324.019980259
1784370600,1.7067410598178773e-06,1.729859026903416e-06,1.3349638324580668e-06,1.3975073642471064e-06,251.003837545
1784372400,1.3975073642471064e-06,1.646277233132516e-06,1.232078323051154e-06,1.5430762720623893e-06,259.183780797
1784374200,1.5430762720623893e-06,1.8297140363252964e-06,1.2967500214392434e-06,1.70323827388569e-06,256.828577455
1784376000,1.70323827388569e-06,2.3925697055637863e-06,1.6194614408529071e-06,2.3925697055637863e-06,894.0753059239998
1784377800,2.3925697055637863e-06,2.3925697055637863e-06,1.6876686148673956e-06,1.7351498007570174e-06,903.3349649740001
1784379600,1.7351498007570174e-06,2.235032910965067e-06,1.3217977851786866e-06,1.9071139917173824e-06,680.5809965059999
1784381400,1.9071139917173824e-06,2.4157029152640457e-06,1.6063101844611784e-06,1.7748216522276288e-06,430.25521593
1784383200,1.7748216522276288e-06,2.5048498890381145e-06,1.5441829810968472e-06,2.2934786961944105e-06,379.62072717700005
1784385000,2.2934786961944105e-06,2.3277128350772454e-06,1.7403085909057375e-06,1.9467866729850587e-06,283.519448722
1784386800,1.9467866729850587e-06,1.951443893381421e-06,1.153055156425025e-06,1.3087156302302145e-06,397.12076586300003
1784388600,1.3087156302302145e-06,1.591621320167031e-06,1.2014058934480382e-06,1.471292546612038e-06,246.90103973399997
1784390400,1.471292546612038e-06,3.870082864849119e-06,1.2207529370049266e-06,2.3551802906663504e-06,1407.1918551539998
1784392200,2.3551802906663504e-06,5.047298876236337e-06,2.0483667647184223e-06,4.7643991713374835e-06,1801.538209398
1784394000,4.7643991713374835e-06,6.823600698104875e-06,3.3063033473142026e-06,5.678012767069414e-06,2510.9138312329997
1784395800,5.678012767069414e-06,8.036925681628052e-06,5.137173435484124e-06,6.252524612205739e-06,2456.5737773540004
1784397600,6.252524612205739e-06,1.1038138435625522e-05,5.8382000404525185e-06,1.0127455548558396e-05,3466.0121856259993
1784399400,1.0127455548558396e-05,1.0204974242205272e-05,7.1242440277492735e-06,7.349081274787748e-06,1553.3404057820003
1784401200,7.349081274787748e-06,7.506731450875607e-06,6.110803630081833e-06,7.32825997153348e-06,1331.6841718760002
1784403000,7.32825997153348e-06,9.37920554883649e-06,5.170335002859504e-06,5.829424162746215e-06,1906.700761754
1784404800,5.829424162746215e-06,6.306116035505702e-06,5.114915004634962e-06,5.605123072114995e-06,993.4281819889999
1784406600,5.605123072114995e-06,5.70258589988571e-06,4.0982176934284755e-06,4.518208817614535e-06,964.010127258
1784408400,4.518208817614535e-06,5.74970297297506e-06,4.4808829362158465e-06,5.458003765261789e-06,655.0391248029998
1784410200,5.458003765261789e-06,5.835756685697285e-06,5.0734236352413644e-06,5.6451683155519725e-06,466.2230572009999
