ts,open,high,low,close,volume
1784386800,9.05424990221194e-08,1.247222361827421e-07,8.963467054349992e-08,1.240499286776693e-07,34057.386562985004
1784388600,1.240499286776693e-07,1.666006652182708e-07,1.2260522997260374e-07,1.655497436963475e-07,34053.569188562
1784390400,1.655497436963475e-07,2.194157495695024e-07,1.6355284954707853e-07,2.1632391056376778e-07,32527.454591203
1784392200,2.1632391056376778e-07,3.213824843695258e-07,2.1495638116858067e-07,3.1965904701841373e-07,34979.515774579
1784394000,3.1965904701841373e-07,4.0131846355904067e-07,3.1598923853299257e-07,3.983850647115654e-07,33121.285356192
1784395800,3.983850647115654e-07,4.284495125484459e-07,3.938148919346213e-07,4.1668334314787946e-07,24527.666531265
1784397600,4.1668334314787946e-07,4.26039832222861e-07,3.99992976019714e-07,4.074862304106269e-07,17449.833790051
1784399400,4.074862304106269e-07,5.464172063578881e-07,3.960795061500563e-07,5.429270628947178e-07,32037.218156696996
1784401200,5.429270628947178e-07,7.38341124397799e-07,5.378885911003168e-07,7.271790264777909e-07,35252.221021162004
1784403000,7.271790264777909e-07,9.2860200972401e-07,7.271790264777909e-07,9.235495685025894e-07,34801.308384216005
1784404800,9.235495685025894e-07,1.1542842426913882e-06,9.162390266714196e-07,1.1475495138871577e-06,35714.611600289
1784406600,1.1475495138871577e-06,1.3038985759145852e-06,1.1398935997350023e-06,1.2965384912368384e-06,21823.290589071
