ts,open,high,low,close,volume
1784387700,7.223734448667686e-06,7.421198187464986e-06,7.223734448667686e-06,7.223734448667686e-06,0.04124049803937371
1784388300,7.223734448667686e-06,7.521130467430835e-06,7.223734448667686e-06,7.521130467430835e-06,0.03799611585669678
1784391300,7.521130467430835e-06,7.5431652789541e-06,7.521130467430835e-06,7.5431652789541e-06,0.04136359075207834
1784391600,7.5431652789541e-06,7.867920758301304e-06,7.5431652789541e-06,7.867920758301304e-06,0.07894873231422941
1784391900,7.867920758301304e-06,8.413096057774567e-06,7.867920758301304e-06,8.413096057774567e-06,0.12384689643546047
1784392200,8.413096057774567e-06,8.941633875835367e-06,8.413096057774567e-06,8.941633875835367e-06,0.11994912136595333
1784392500,8.941633875835367e-06,9.724862986481037e-06,8.941633875835367e-06,9.724862986481037e-06,0.17133979741162012
1784392800,9.724862986481037e-06,1.030512271730133e-05,9.724862986481037e-06,1.030512271730133e-05,0.14321346867677956
1784393100,1.030512271730133e-05,1.1205731799005695e-05,1.030512271730133e-05,1.1205731799005695e-05,0.24761823468994085
1784393400,1.1205731799005695e-05,1.1789534398710017e-05,1.1205731799005695e-05,1.1789534398710017e-05,0.1516665594450741
1784393700,1.1789534398710017e-05,1.2622542262223736e-05,1.1789534398710017e-05,1.2622542262223736e-05,0.214106088222605
1784394000,1.2622542262223736e-05,1.3208131908932415e-05,1.2622542262223736e-05,1.3208131908932415e-05,0.20098117338633387
1784394300,1.3208131908932415e-05,1.397956518301382e-05,1.3208131908932415e-05,1.397956518301382e-05,0.3356401564667371
1784394600,1.397956518301382e-05,1.4512084100660192e-05,1.397956518301382e-05,1.4512084100660192e-05,0.198119440284928
1784394900,1.4512084100660192e-05,1.5127931641358392e-05,1.4512084100660192e-05,1.5127931641358392e-05,0.21888315229366923
1784395200,1.5127931641358392e-05,1.5699557516996375e-05,1.5127931641358392e-05,1.5699557516996375e-05,0.1956060999251486
1784395500,1.5699557516996375e-05,1.6116041811726708e-05,1.5699557516996375e-05,1.6116041811726708e-05,0.13042633632677658
1784395800,1.6116041811726708e-05,1.6592491702756524e-05,1.6116041811726708e-05,1.6592491702756524e-05,0.13220799557982532
1784396100,1.6592491702756524e-05,1.7303086790545037e-05,1.6592491702756524e-05,1.7303086790545037e-05,0.19681073796806287
1784397300,1.7303086790545037e-05,1.7528142767976066e-05,1.7303086790545037e-05,1.7528142767976066e-05,0.06735273391568931
1784399700,1.7528142767976066e-05,1.8230866081078403e-05,1.7528142767976066e-05,1.8230866081078403e-05,0.20595120232608743
1784400000,1.8230866081078403e-05,1.8922332441834267e-05,1.8230866081078403e-05,1.8922332441834267e-05,0.19523882330577105
1784400300,1.8922332441834267e-05,2.0457444574240578e-05,1.8922332441834267e-05,2.0457444574240578e-05,0.41198715788908585
1784400600,2.0457444574240578e-05,2.1806350342209037e-05,2.0457444574240578e-05,2.1806350342209037e-05,0.35212172472351094
1784400900,2.1806350342209037e-05,2.2968685002091993e-05,2.1806350342209037e-05,2.2968685002091993e-05,0.30951289950400546
1784401200,2.2968685002091993e-05,2.441009098454944e-05,2.2968685002091993e-05,2.441009098454944e-05,0.38820133627486275
1784401500,2.441009098454944e-05,2.6203884033743e-05,2.441009098454944e-05,2.6203884033743e-05,0.459908337030311
1784401800,2.6203884033743e-05,2.7434136203665647e-05,2.6203884033743e-05,2.7434136203665647e-05,0.3158168772996408
1784402100,2.7434136203665647e-05,2.9166161577928647e-05,2.7434136203665647e-05,2.9166161577928647e-05,0.4130900810230251
1784402400,2.9166161577928647e-05,3.018759042393624e-05,2.9166161577928647e-05,3.018759042393624e-05,0.23963425482430192
1784402700,3.018759042393624e-05,3.183472814353199e-05,3.018759042393624e-05,3.183472814353199e-05,0.4005832243333117
1784403000,3.183472814353199e-05,3.293966374818513e-05,3.183472814353199e-05,3.293966374818513e-05,0.24255090268300875
1784403300,3.293966374818513e-05,3.4168123702654953e-05,3.293966374818513e-05,3.4168123702654953e-05,0.27790611372278984
1784403600,3.4168123702654953e-05,3.573467208743094e-05,3.4168123702654953e-05,3.573467208743094e-05,0.3397794434281115
1784403900,3.573467208743094e-05,3.689439865001303e-05,3.573467208743094e-05,3.689439865001303e-05,0.25592397103926956
1784404200,3.689439865001303e-05,3.8961752351712114e-05,3.689439865001303e-05,3.8961752351712114e-05,0.43164341633980013
1784404500,3.8961752351712114e-05,4.076863285619758e-05,3.8961752351712114e-05,4.076863285619758e-05,0.3625823736728859
1784404800,4.076863285619758e-05,4.206202389750283e-05,4.076863285619758e-05,4.206202389750283e-05,0.2640047067958044
1784405100,4.206202389750283e-05,4.430248098598239e-05,4.206202389750283e-05,4.430248098598239e-05,0.4441223331629868
1784405400,4.430248098598239e-05,4.61956376458072e-05,4.430248098598239e-05,4.61956376458072e-05,0.35845744374717153
1784405700,4.61956376458072e-05,4.8235051319196344e-05,4.61956376458072e-05,4.8235051319196344e-05,0.3856119772052619
