ts,open,high,low,close,volume
1784197800,2.4943445341975443e-05,2.505136450221254e-05,2.3278071247247044e-05,2.448252118171661e-05,203.667951168
1784199600,2.448252118171661e-05,2.4919170398609356e-05,2.2634548274953393e-05,2.419874255721371e-05,259.106476393
1784201400,2.419874255721371e-05,2.615526650334791e-05,2.3946373445072345e-05,2.568838569875046e-05,272.800726287
1784203200,2.568838569875046e-05,2.627782690733841e-05,2.40057053e-05,2.4284504704432784e-05,229.617241169
1784205000,2.4284504704432784e-05,2.4441360750625236e-05,2.2859351334818662e-05,2.3143927933711788e-05,180.87544201600002
1784206800,2.3143927933711788e-05,2.378212694553246e-05,2.060269048972352e-05,2.2053660437989745e-05,406.60350479
1784208600,2.2053660437989745e-05,2.2561919794241727e-05,2.094893081351835e-05,2.094893081351835e-05,215.178268273
1784210400,2.094893081351835e-05,2.367764415176311e-05,2.094893081351835e-05,2.3515169842837417e-05,240.674987789
1784212200,2.3515169842837417e-05,2.4164026124943494e-05,2.1050353421836708e-05,2.152212117527675e-05,352.84712306100005
1784214000,2.152212117527675e-05,2.3452137301202256e-05,2.1427061848182212e-05,2.3370376842363756e-05,275.646989597
1784215800,2.3370376842363756e-05,2.4872663388724733e-05,2.2745152073555114e-05,2.361788300312437e-05,265.993207506
1784217600,2.361788300312437e-05,2.38596722675263e-05,2.2103483901533777e-05,2.3452634498762154e-05,132.881474131
1784219400,2.3452634498762154e-05,2.487779830823814e-05,2.302260149218826e-05,2.369646312157299e-05,291.944413437
1784221200,2.369646312157299e-05,2.487816974314758e-05,2.158355811173357e-05,2.158355811173357e-05,347.35210442900006
1784223000,2.158355811173357e-05,2.3664369262787996e-05,2.0464315600530413e-05,2.13444986050456e-05,365.668338865
1784224800,2.13444986050456e-05,2.160319489046367e-05,1.9246956668813183e-05,1.951191032282897e-05,396.04862318799997
1784226600,1.951191032282897e-05,2.004360184937885e-05,1.8598191608950796e-05,1.9699772854838187e-05,568.6828712470001
1784228400,1.9699772854838187e-05,2.1661632319653985e-05,1.9184671856992757e-05,2.1198184508708553e-05,269.38741361
1784230200,2.1198184508708553e-05,2.3164059622020016e-05,2.0453521970984097e-05,2.30200197652091e-05,241.457912786
1784232000,2.30200197652091e-05,2.5747357259040117e-05,2.2065327584683175e-05,2.4012512946039593e-05,528.0182131070001
