pool,pool_name,pool_address,tf,sl_opt,exit_mode,trades,TP,SL,BE,EXP,win_rate_resolved_pct,sl_rate_resolved_pct,be_rate_pct,be_gate_hit,be_gate_recovered,be_gate_recovery_rate_pct,ever_floating_loss,ever_floating_loss_pct,deep50_loss,deep50_then_recovered_entry,deep50_recovery_rate_pct,deep75_loss,deep75_then_recovered_entry,deep75_recovery_rate_pct,max_consec_win,min_consec_win,max_consec_loss,min_consec_loss,avg_bars_held,avg_minutes_held,avg_R,sum_R
Jimothy-SOL [2VHM9p...Krd9],Jimothy-SOL,2VHM9pTZEU6pqeZoiNi8ZCeyerqhRYgS5Um7U8AEKrd9,15m,O1_SL50,BE1,6,2,0,4,0,100.0,0.0,66.66666666666666,5,4,80.0,5,83.33333333333334,0,0,0.0,0,0,0.0,2,2,0,0,2.6666666666666665,40.0,0.13877981364134878,0.8326788818480927
Jimothy-SOL [2VHM9p...Krd9],Jimothy-SOL,2VHM9pTZEU6pqeZoiNi8ZCeyerqhRYgS5Um7U8AEKrd9,15m,O2_ST2X,BE1,6,2,0,4,0,100.0,0.0,66.66666666666666,5,4,80.0,5,83.33333333333334,0,0,0.0,0,0,0.0,2,2,0,0,2.6666666666666665,40.0,0.10436637912884321,0.6261982747730592
Jimothy-SOL [2VHM9p...Krd9],Jimothy-SOL,2VHM9pTZEU6pqeZoiNi8ZCeyerqhRYgS5Um7U8AEKrd9,1m,O1_SL50,BE1,27,2,1,24,0,66.66666666666666,33.33333333333333,88.88888888888889,27,24,88.88888888888889,27,100.0,1,0,0.0,1,0,0.0,2,2,1,1,12.814814814814815,12.814814814814815,-0.023239187721036437,-0.6274580684679838
Jimothy-SOL [2VHM9p...Krd9],Jimothy-SOL,2VHM9pTZEU6pqeZoiNi8ZCeyerqhRYgS5Um7U8AEKrd9,1m,O2_ST2X,BE1,27,2,3,22,0,40.0,60.0,81.48148148148148,27,22,81.48148148148148,27,100.0,8,0,0.0,3,0,0.0,1,1,2,1,5.962962962962963,5.962962962962963,-0.07767491360220614,-2.0972226672595657
Jimothy-SOL [2VHM9p...Krd9],Jimothy-SOL,2VHM9pTZEU6pqeZoiNi8ZCeyerqhRYgS5Um7U8AEKrd9,5m,O1_SL50,BE1,18,7,1,10,0,87.5,12.5,55.55555555555556,16,10,62.5,16,88.88888888888889,2,0,0.0,1,0,0.0,6,1,1,1,9.222222222222221,46.111111111111114,0.031045082955782417,0.5588114932040835
Jimothy-SOL [2VHM9p...Krd9],Jimothy-SOL,2VHM9pTZEU6pqeZoiNi8ZCeyerqhRYgS5Um7U8AEKrd9,5m,O2_ST2X,BE1,18,7,1,10,0,87.5,12.5,55.55555555555556,16,10,62.5,16,88.88888888888889,2,0,0.0,2,0,0.0,6,1,1,1,8.166666666666666,40.833333333333336,0.048496892153081915,0.8729440587554744
Jimothy-SOL [5pjRzU...1HQo],Jimothy-SOL,5pjRzUQan6bYynQERLK499fq48LiD5ryZrf9adZX1HQo,15m,O1_SL50,BE1,2,0,0,2,0,0.0,0.0,100.0,2,2,100.0,2,100.0,0,0,0.0,0,0,0.0,0,0,0,0,4.5,67.5,0.0,0.0
Jimothy-SOL [5pjRzU...1HQo],Jimothy-SOL,5pjRzUQan6bYynQERLK499fq48LiD5ryZrf9adZX1HQo,15m,O2_ST2X,BE1,2,0,0,2,0,0.0,0.0,100.0,2,2,100.0,2,100.0,0,0,0.0,0,0,0.0,0,0,0,0,4.5,67.5,0.0,0.0
Jimothy-SOL [5pjRzU...1HQo],Jimothy-SOL,5pjRzUQan6bYynQERLK499fq48LiD5ryZrf9adZX1HQo,1m,O1_SL50,BE1,22,4,0,18,0,100.0,0.0,81.81818181818183,19,18,94.73684210526315,19,86.36363636363636,2,0,0.0,1,0,0.0,4,4,0,0,17.318181818181817,17.318181818181817,0.006943456089878219,0.15275603397732082
Jimothy-SOL [5pjRzU...1HQo],Jimothy-SOL,5pjRzUQan6bYynQERLK499fq48LiD5ryZrf9adZX1HQo,1m,O2_ST2X,BE1,22,4,3,15,0,57.14285714285714,42.857142857142854,68.18181818181817,19,15,78.94736842105263,19,86.36363636363636,5,0,0.0,4,0,0.0,4,4,2,1,6.0,6.0,-0.1139729781743196,-2.5074055198350313
