pool,pool_address,tf,sl_opt,exit_mode,be_mode,be_gate,be_min_candles,be_depth_pct,trigger_bar,trigger_time_wib,fractal_bar,fractal_time_wib,confirm_bar,confirm_time_wib,entry_bar,entry_time_wib,exit_bar,exit_time_wib,entry,tp,sl,st_confirm,st_dist_pct,rsi_trigger,rsi_confirm,outcome,bars_held,minutes_held,R,ever_floating_loss,loss_then_recovered_entry,deep50_loss,deep50_then_recovered_entry,deep75_loss,deep75_then_recovered_entry,loss_bars,profit_bars
GPC-SOL,CyKTuPwSyw2EhFGjvpNWYfpCheyqGNrgEZoXiF5ShmqT,5m,O1_SL50,BE1,BE1,ever_loss,2,0.0,131,2026-07-13 22:00,135,2026-07-13 22:20,138,2026-07-13 22:35,139,2026-07-13 22:40,195,2026-07-14 10:50,0.0009763020915824795,0.0010211279621418282,0.00048815104579123976,0.0008167857143728181,16.33883391062932,95.87576677973063,76.25984708807349,TP,57,285,0.09182786956174759,True,False,True,False,False,False,56,1
GPC-SOL,CyKTuPwSyw2EhFGjvpNWYfpCheyqGNrgEZoXiF5ShmqT,5m,O2_ST2X,BE1,BE1,ever_loss,2,0.0,131,2026-07-13 22:00,135,2026-07-13 22:20,138,2026-07-13 22:35,139,2026-07-13 22:40,195,2026-07-14 10:50,0.0009763020915824795,0.0010211279621418282,0.0006572693371631566,0.0008167857143728181,16.33883391062932,95.87576677973063,76.25984708807349,TP,57,285,0.14050554351679967,True,False,True,False,True,False,56,1
GPC-SOL,CyKTuPwSyw2EhFGjvpNWYfpCheyqGNrgEZoXiF5ShmqT,5m,O1_SL50,BE1,BE1,ever_loss,2,0.0,156,2026-07-14 00:35,199,2026-07-14 11:35,202,2026-07-14 12:20,203,2026-07-14 12:35,214,2026-07-14 19:30,0.0010021502594173312,0.0011216693614072802,0.0005010751297086656,0.000973695926000911,2.839328049764117,98.65577820533939,7.154811678194719,TP,12,60,0.23852531268003596,True,False,False,False,False,False,11,1
GPC-SOL,CyKTuPwSyw2EhFGjvpNWYfpCheyqGNrgEZoXiF5ShmqT,5m,O2_ST2X,BE1,BE1,ever_loss,2,0.0,156,2026-07-14 00:35,199,2026-07-14 11:35,202,2026-07-14 12:20,203,2026-07-14 12:35,205,2026-07-14 13:30,0.0010021502594173312,0.0011216693614072802,0.0009452415925844909,0.000973695926000911,2.839328049764117,98.65577820533939,7.154811678194719,SL,3,15,-1.0,True,False,True,False,True,False,3,0
GPC-SOL,CyKTuPwSyw2EhFGjvpNWYfpCheyqGNrgEZoXiF5ShmqT,15m,O1_SL50,BE1,BE1,ever_loss,2,0.0,66,2026-07-13 22:00,67,2026-07-13 22:15,70,2026-07-13 23:00,71,2026-07-13 23:15,75,2026-07-14 00:30,0.0008947204645414708,0.0010211279621418282,0.0004473602322707354,0.000748554068834423,16.3365432556587,96.730910067386,71.68608418649023,BE1,5,75,0.0,True,True,False,False,False,False,4,1
GPC-SOL,CyKTuPwSyw2EhFGjvpNWYfpCheyqGNrgEZoXiF5ShmqT,15m,O2_ST2X,BE1,BE1,ever_loss,2,0.0,66,2026-07-13 22:00,67,2026-07-13 22:15,70,2026-07-13 23:00,71,2026-07-13 23:15,75,2026-07-14 00:30,0.0008947204645414708,0.0010211279621418282,0.0006023876731273751,0.000748554068834423,16.3365432556587,96.730910067386,71.68608418649023,BE1,5,75,0.0,True,True,False,False,False,False,4,1
GPC-SOL,CyKTuPwSyw2EhFGjvpNWYfpCheyqGNrgEZoXiF5ShmqT,15m,O1_SL50,BE1,BE1,ever_loss,2,0.0,75,2026-07-14 00:30,105,2026-07-14 11:30,108,2026-07-14 12:15,109,2026-07-14 12:30,116,2026-07-14 19:30,0.0010021502594173312,0.0011216693614072802,0.0005010751297086656,0.0009262505543369229,7.573685120287029,92.10547443443745,19.346450828690678,TP,8,120,0.23852531268003596,True,False,False,False,False,False,7,1
GPC-SOL,CyKTuPwSyw2EhFGjvpNWYfpCheyqGNrgEZoXiF5ShmqT,15m,O2_ST2X,BE1,BE1,ever_loss,2,0.0,75,2026-07-14 00:30,105,2026-07-14 11:30,108,2026-07-14 12:15,109,2026-07-14 12:30,110,2026-07-14 13:30,0.0010021502594173312,0.0011216693614072802,0.0008503508492565147,0.0009262505543369229,7.573685120287029,92.10547443443745,19.346450828690678,SL,2,30,-1.0,True,False,True,False,True,False,2,0
GPC-SOL,CyKTuPwSyw2EhFGjvpNWYfpCheyqGNrgEZoXiF5ShmqT,15m,O1_SL50,BE1,BE1,ever_loss,2,0.0,116,2026-07-14 19:30,252,2026-07-18 01:45,255,2026-07-18 03:15,256,2026-07-18 03:45,258,2026-07-18 04:30,0.000749969342006539,0.0008261863193477516,0.0003749846710032695,0.0006945473550464936,7.389900340694486,96.31223694498743,69.19974078132245,BE1,3,45,0.0,True,True,False,False,False,False,1,2
GPC-SOL,CyKTuPwSyw2EhFGjvpNWYfpCheyqGNrgEZoXiF5ShmqT,15m,O2_ST2X,BE1,BE1,ever_loss,2,0.0,116,2026-07-14 19:30,252,2026-07-18 01:45,255,2026-07-18 03:15,256,2026-07-18 03:45,258,2026-07-18 04:30,0.000749969342006539,0.0008261863193477516,0.0006391253680864482,0.0006945473550464936,7.389900340694486,96.31223694498743,69.19974078132245,BE1,3,45,0.0,True,True,False,False,False,False,1,2
