pool,pool_name,pool_address,tf,sl_opt,exit_mode,trades,TP,SL,BE,EXP,win_rate_resolved_pct,sl_rate_resolved_pct,be_rate_pct,be_gate_hit,be_gate_recovered,be_gate_recovery_rate_pct,ever_floating_loss,ever_floating_loss_pct,deep50_loss,deep50_then_recovered_entry,deep50_recovery_rate_pct,deep75_loss,deep75_then_recovered_entry,deep75_recovery_rate_pct,max_consec_win,min_consec_win,max_consec_loss,min_consec_loss,avg_bars_held,avg_minutes_held,avg_R,sum_R
Mouse-SOL [12yWMg...BoKZ],Mouse-SOL,12yWMgHenmamqQrZpmjH8zASmNBPF45uGnNtBGVBBoKZ,1m,O1_SL50,BE1,5,2,0,3,0,100.0,0.0,60.0,5,3,60.0,5,100.0,2,0,0.0,0,0,0.0,2,2,0,0,17.4,17.4,0.04311292992347908,0.21556464961739538
Mouse-SOL [12yWMg...BoKZ],Mouse-SOL,12yWMgHenmamqQrZpmjH8zASmNBPF45uGnNtBGVBBoKZ,1m,O1_SL50,BE50,5,2,1,2,0,66.66666666666666,33.33333333333333,40.0,5,2,40.0,5,100.0,3,2,66.66666666666666,1,0,0.0,1,1,1,1,31.4,31.4,-0.15688707007652092,-0.7844353503826046
Mouse-SOL [12yWMg...BoKZ],Mouse-SOL,12yWMgHenmamqQrZpmjH8zASmNBPF45uGnNtBGVBBoKZ,1m,O1_SL50,BE75,5,3,2,0,0,60.0,40.0,0.0,5,0,0.0,5,100.0,3,0,0.0,2,0,0.0,2,1,2,2,41.4,41.4,-0.3468968259050351,-1.7344841295251756
Mouse-SOL [12yWMg...BoKZ],Mouse-SOL,12yWMgHenmamqQrZpmjH8zASmNBPF45uGnNtBGVBBoKZ,1m,O1_SL50,TP_FRACTAL,5,3,2,0,0,60.0,40.0,0.0,5,0,0.0,5,100.0,3,0,0.0,2,0,0.0,2,1,2,2,41.4,41.4,-0.3468968259050351,-1.7344841295251756
Mouse-SOL [12yWMg...BoKZ],Mouse-SOL,12yWMgHenmamqQrZpmjH8zASmNBPF45uGnNtBGVBBoKZ,1m,O2_ST2X,BE1,5,2,0,3,0,100.0,0.0,60.0,5,3,60.0,5,100.0,1,0,0.0,1,0,0.0,2,2,0,0,17.4,17.4,0.08939789162659026,0.4469894581329513
Mouse-SOL [12yWMg...BoKZ],Mouse-SOL,12yWMgHenmamqQrZpmjH8zASmNBPF45uGnNtBGVBBoKZ,1m,O2_ST2X,BE50,5,3,1,1,0,75.0,25.0,20.0,5,1,20.0,5,100.0,2,1,50.0,2,0,0.0,2,1,1,1,28.0,28.0,-0.10506165450576724,-0.5253082725288362
Mouse-SOL [12yWMg...BoKZ],Mouse-SOL,12yWMgHenmamqQrZpmjH8zASmNBPF45uGnNtBGVBBoKZ,1m,O2_ST2X,BE75,5,3,1,1,0,75.0,25.0,20.0,5,1,20.0,5,100.0,2,0,0.0,2,1,50.0,2,1,1,1,28.0,28.0,-0.10506165450576724,-0.5253082725288362
Mouse-SOL [12yWMg...BoKZ],Mouse-SOL,12yWMgHenmamqQrZpmjH8zASmNBPF45uGnNtBGVBBoKZ,1m,O2_ST2X,TP_FRACTAL,5,3,2,0,0,60.0,40.0,0.0,5,0,0.0,5,100.0,2,0,0.0,2,0,0.0,2,1,2,2,31.8,31.8,-0.3050616545057673,-1.5253082725288363
Mouse-SOL [12yWMg...BoKZ],Mouse-SOL,12yWMgHenmamqQrZpmjH8zASmNBPF45uGnNtBGVBBoKZ,5m,O1_SL50,BE1,2,1,1,0,0,50.0,50.0,0.0,2,0,0.0,2,100.0,1,0,0.0,1,0,0.0,1,1,1,1,8.0,40.0,-0.37728427383840285,-0.7545685476768057
Mouse-SOL [12yWMg...BoKZ],Mouse-SOL,12yWMgHenmamqQrZpmjH8zASmNBPF45uGnNtBGVBBoKZ,5m,O1_SL50,BE50,2,1,1,0,0,50.0,50.0,0.0,2,0,0.0,2,100.0,1,0,0.0,1,0,0.0,1,1,1,1,8.0,40.0,-0.37728427383840285,-0.7545685476768057
Mouse-SOL [12yWMg...BoKZ],Mouse-SOL,12yWMgHenmamqQrZpmjH8zASmNBPF45uGnNtBGVBBoKZ,5m,O1_SL50,BE75,2,1,1,0,0,50.0,50.0,0.0,2,0,0.0,2,100.0,1,0,0.0,1,0,0.0,1,1,1,1,8.0,40.0,-0.37728427383840285,-0.7545685476768057
Mouse-SOL [12yWMg...BoKZ],Mouse-SOL,12yWMgHenmamqQrZpmjH8zASmNBPF45uGnNtBGVBBoKZ,5m,O1_SL50,TP_FRACTAL,2,1,1,0,0,50.0,50.0,0.0,2,0,0.0,2,100.0,1,0,0.0,1,0,0.0,1,1,1,1,8.0,40.0,-0.37728427383840285,-0.7545685476768057
Mouse-SOL [12yWMg...BoKZ],Mouse-SOL,12yWMgHenmamqQrZpmjH8zASmNBPF45uGnNtBGVBBoKZ,5m,O2_ST2X,BE1,2,1,1,0,0,50.0,50.0,0.0,2,0,0.0,2,100.0,1,0,0.0,1,0,0.0,1,1,1,1,8.0,40.0,-0.2862001992820685,-0.572400398564137
Mouse-SOL [12yWMg...BoKZ],Mouse-SOL,12yWMgHenmamqQrZpmjH8zASmNBPF45uGnNtBGVBBoKZ,5m,O2_ST2X,BE50,2,1,1,0,0,50.0,50.0,0.0,2,0,0.0,2,100.0,1,0,0.0,1,0,0.0,1,1,1,1,8.0,40.0,-0.2862001992820685,-0.572400398564137
Mouse-SOL [12yWMg...BoKZ],Mouse-SOL,12yWMgHenmamqQrZpmjH8zASmNBPF45uGnNtBGVBBoKZ,5m,O2_ST2X,BE75,2,1,1,0,0,50.0,50.0,0.0,2,0,0.0,2,100.0,1,0,0.0,1,0,0.0,1,1,1,1,8.0,40.0,-0.2862001992820685,-0.572400398564137
Mouse-SOL [12yWMg...BoKZ],Mouse-SOL,12yWMgHenmamqQrZpmjH8zASmNBPF45uGnNtBGVBBoKZ,5m,O2_ST2X,TP_FRACTAL,2,1,1,0,0,50.0,50.0,0.0,2,0,0.0,2,100.0,1,0,0.0,1,0,0.0,1,1,1,1,8.0,40.0,-0.2862001992820685,-0.572400398564137
febu-SOL [2CVnAQ...UEJz],febu-SOL,2CVnAQYvrgTX8rmnRzWCE3Citgbo3kga3M8TeoFsUEJz,15m,O1_SL50,BE1,19,5,1,12,1,83.33333333333334,16.666666666666664,63.1578947368421,18,12,66.66666666666666,18,94.73684210526315,3,0,0.0,1,0,0.0,5,5,1,1,8.947368421052632,134.21052631578948,0.008479058481320823,0.16110211114509565
febu-SOL [2CVnAQ...UEJz],febu-SOL,2CVnAQYvrgTX8rmnRzWCE3Citgbo3kga3M8TeoFsUEJz,15m,O1_SL50,BE50,19,14,2,2,1,87.5,12.5,10.526315789473683,18,2,11.11111111111111,18,94.73684210526315,5,2,40.0,3,0,0.0,8,6,1,1,15.736842105263158,236.05263157894737,0.21453397263955196,4.076145480151487
febu-SOL [2CVnAQ...UEJz],febu-SOL,2CVnAQYvrgTX8rmnRzWCE3Citgbo3kga3M8TeoFsUEJz,15m,O1_SL50,BE75,19,14,3,1,1,82.35294117647058,17.647058823529413,5.263157894736842,18,1,5.555555555555555,18,94.73684210526315,5,0,0.0,4,1,25.0,8,6,2,1,17.894736842105264,268.42105263157896,0.16190239369218354,3.0761454801514874
febu-SOL [2CVnAQ...UEJz],febu-SOL,2CVnAQYvrgTX8rmnRzWCE3Citgbo3kga3M8TeoFsUEJz,15m,O1_SL50,TP_FRACTAL,19,15,3,0,1,83.33333333333334,16.666666666666664,0.0,18,0,0.0,18,94.73684210526315,5,0,0.0,4,0,0.0,8,7,2,1,20.473684210526315,307.10526315789474,0.20378456922362018,3.871906815248783
febu-SOL [2CVnAQ...UEJz],febu-SOL,2CVnAQYvrgTX8rmnRzWCE3Citgbo3kga3M8TeoFsUEJz,15m,O2_ST2X,BE1,19,5,1,12,1,83.33333333333334,16.666666666666664,63.1578947368421,18,12,66.66666666666666,18,94.73684210526315,4,0,0.0,2,0,0.0,5,5,1,1,6.473684210526316,97.10526315789474,0.02112522805480782,0.4013793330413486
febu-SOL [2CVnAQ...UEJz],febu-SOL,2CVnAQYvrgTX8rmnRzWCE3Citgbo3kga3M8TeoFsUEJz,15m,O2_ST2X,BE50,19,12,2,4,1,85.71428571428571,14.285714285714285,21.052631578947366,18,4,22.22222222222222,18,94.73684210526315,7,4,57.14285714285714,3,0,0.0,6,6,1,1,11.68421052631579,175.26315789473685,0.17528679497511723,3.3304491045272275
febu-SOL [2CVnAQ...UEJz],febu-SOL,2CVnAQYvrgTX8rmnRzWCE3Citgbo3kga3M8TeoFsUEJz,15m,O2_ST2X,BE75,19,15,2,1,1,88.23529411764706,11.76470588235294,5.263157894736842,18,1,5.555555555555555,18,94.73684210526315,7,0,0.0,3,1,33.33333333333333,8,7,1,1,15.473684210526315,232.10526315789474,0.4227235406640953,8.03174727261781
febu-SOL [2CVnAQ...UEJz],febu-SOL,2CVnAQYvrgTX8rmnRzWCE3Citgbo3kga3M8TeoFsUEJz,15m,O2_ST2X,TP_FRACTAL,19,15,3,0,1,83.33333333333334,16.666666666666664,0.0,18,0,0.0,18,94.73684210526315,7,0,0.0,3,0,0.0,8,7,2,1,16.05263157894737,240.78947368421052,0.37009196171672687,7.03174727261781
febu-SOL [2CVnAQ...UEJz],febu-SOL,2CVnAQYvrgTX8rmnRzWCE3Citgbo3kga3M8TeoFsUEJz,1m,O1_SL50,BE1,16,8,1,7,0,88.88888888888889,11.11111111111111,43.75,12,7,58.333333333333336,12,75.0,1,0,0.0,1,0,0.0,5,3,1,1,21.75,21.75,-0.00949785025191683,-0.15196560403066928
febu-SOL [2CVnAQ...UEJz],febu-SOL,2CVnAQYvrgTX8rmnRzWCE3Citgbo3kga3M8TeoFsUEJz,1m,O1_SL50,BE50,16,14,1,0,1,93.33333333333333,6.666666666666667,0.0,12,0,0.0,12,75.0,1,0,0.0,1,0,0.0,7,7,1,1,31.6875,31.6875,0.03435548974167466,0.5496878358667946
febu-SOL [2CVnAQ...UEJz],febu-SOL,2CVnAQYvrgTX8rmnRzWCE3Citgbo3kga3M8TeoFsUEJz,1m,O1_SL50,BE75,16,14,1,0,1,93.33333333333333,6.666666666666667,0.0,12,0,0.0,12,75.0,1,0,0.0,1,0,0.0,7,7,1,1,31.6875,31.6875,0.03435548974167466,0.5496878358667946
febu-SOL [2CVnAQ...UEJz],febu-SOL,2CVnAQYvrgTX8rmnRzWCE3Citgbo3kga3M8TeoFsUEJz,1m,O1_SL50,TP_FRACTAL,16,14,1,0,1,93.33333333333333,6.666666666666667,0.0,12,0,0.0,12,75.0,1,0,0.0,1,0,0.0,7,7,1,1,31.6875,31.6875,0.03435548974167466,0.5496878358667946
febu-SOL [2CVnAQ...UEJz],febu-SOL,2CVnAQYvrgTX8rmnRzWCE3Citgbo3kga3M8TeoFsUEJz,1m,O2_ST2X,BE1,16,8,4,4,0,66.66666666666666,33.33333333333333,25.0,12,4,33.33333333333333,12,75.0,7,0,0.0,4,0,0.0,5,3,2,1,9.8125,9.8125,0.16285237722984508,2.6056380356775213
febu-SOL [2CVnAQ...UEJz],febu-SOL,2CVnAQYvrgTX8rmnRzWCE3Citgbo3kga3M8TeoFsUEJz,1m,O2_ST2X,BE50,16,10,4,2,0,71.42857142857143,28.57142857142857,12.5,12,2,16.666666666666664,12,75.0,7,2,28.57142857142857,4,0,0.0,5,2,1,1,10.125,10.125,0.24680172472435813,3.94882759558973
febu-SOL [2CVnAQ...UEJz],febu-SOL,2CVnAQYvrgTX8rmnRzWCE3Citgbo3kga3M8TeoFsUEJz,1m,O2_ST2X,BE75,16,12,4,0,0,75.0,25.0,0.0,12,0,0.0,12,75.0,7,0,0.0,4,0,0.0,6,2,1,1,10.375,10.375,0.39607695384308816,6.337231261489411
febu-SOL [2CVnAQ...UEJz],febu-SOL,2CVnAQYvrgTX8rmnRzWCE3Citgbo3kga3M8TeoFsUEJz,1m,O2_ST2X,TP_FRACTAL,16,12,4,0,0,75.0,25.0,0.0,12,0,0.0,12,75.0,7,0,0.0,4,0,0.0,6,2,1,1,10.375,10.375,0.39607695384308816,6.337231261489411
febu-SOL [2CVnAQ...UEJz],febu-SOL,2CVnAQYvrgTX8rmnRzWCE3Citgbo3kga3M8TeoFsUEJz,5m,O1_SL50,BE1,45,14,2,29,0,87.5,12.5,64.44444444444444,38,29,76.31578947368422,38,84.44444444444444,5,0,0.0,4,0,0.0,13,1,2,2,13.688888888888888,68.44444444444444,0.03557558168629519,1.6009011758832836
febu-SOL [2CVnAQ...UEJz],febu-SOL,2CVnAQYvrgTX8rmnRzWCE3Citgbo3kga3M8TeoFsUEJz,5m,O1_SL50,BE50,45,34,4,5,2,89.47368421052632,10.526315789473683,11.11111111111111,38,5,13.157894736842104,38,84.44444444444444,9,5,55.55555555555556,7,0,0.0,17,1,1,1,24.488888888888887,122.44444444444444,0.13066233941312136,5.879805273590461
