ts,open,high,low,close,volume
1784372400,8.405060878023413e-07,1.0576081800427869e-06,8.372893812309712e-07,1.051627914618773e-06,29611.29491191
1784374200,1.051627914618773e-06,1.1498648039306007e-06,1.0347998170216134e-06,1.1440857978013502e-06,29683.825179245003
1784376000,1.1440857978013502e-06,1.314190777472757e-06,1.1440857978013502e-06,1.3027105837997645e-06,28779.993820664997
1784377800,1.3027105837997645e-06,1.402047901799668e-06,1.2553109418309354e-06,1.3855012261536366e-06,29623.976406374
1784379600,1.3855012261536366e-06,1.5767932468315557e-06,1.380214504503411e-06,1.511437278842179e-06,28330.655889835
1784381400,1.511437278842179e-06,1.6674465028028151e-06,1.5045896134174425e-06,1.6353504207765835e-06,26727.57877498
1784383200,1.6353504207765835e-06,1.8873913636573713e-06,1.6005007952924978e-06,1.8770703110093927e-06,27847.234860724002
1784385000,1.8770703110093927e-06,2.0965312097778822e-06,1.8656163074913883e-06,2.067557805488904e-06,29535.830596561
1784386800,2.067557805488904e-06,2.3043429200827585e-06,2.045198215980067e-06,2.1835918386774175e-06,30449.171860308998
1784388600,2.1835918386774175e-06,2.3429317142037204e-06,2.1631302561309366e-06,2.30386759972701e-06,30540.376332509004
1784390400,2.30386759972701e-06,2.525722132713088e-06,2.295991892486445e-06,2.497837293338354e-06,28017.777335051
1784392200,2.497837293338354e-06,2.726470811520171e-06,2.495476360485624e-06,2.696230756421418e-06,30627.825359329
