ts,open,high,low,close,volume
1784354400,3.727865796831328e-08,8.412172266161236e-07,3.727865796831328e-08,6.993746185200035e-07,1871.789690967
1784356200,6.993746185200035e-07,1.3056147456468092e-06,5.07940486567082e-07,9.35394318031788e-07,2411.690661698
1784358000,9.35394318031788e-07,1.219275773960624e-06,5.376382812554918e-07,1.1089806229150792e-06,894.679118788
1784359800,1.1089806229150792e-06,2.5989469475254903e-06,1.005225973014484e-06,1.8005758898540642e-06,1958.1860833360001
1784361600,1.8005758898540642e-06,3.333137729446709e-06,1.7389059702812662e-06,2.078341443287369e-06,1476.268654637
1784363400,2.078341443287369e-06,2.513133359007205e-06,1.4108404608748757e-06,2.328588328226308e-06,1071.812126469
1784365200,2.328588328226308e-06,3.5914905666943245e-06,2.038960191298197e-06,3.2161186870016447e-06,816.574236892
1784367000,3.2161186870016447e-06,5.095278627761416e-06,3.0323796372574164e-06,3.819097360849344e-06,1802.7865768940005
1784368800,3.819097360849344e-06,5.022018551079649e-06,3.50573174141199e-06,3.750487513567237e-06,976.280735831
1784370600,3.750487513567237e-06,4.071966166239045e-06,2.5768451805849673e-06,2.709090784239491e-06,584.3055988250001
1784372400,2.709090784239491e-06,3.3255211187867512e-06,2.4755347495939298e-06,2.8585521568307218e-06,571.1297792400001
1784374200,2.8585521568307218e-06,3.839635757070201e-06,2.3588246891633578e-06,3.7730567069136104e-06,629.911991272
1784376000,3.7730567069136104e-06,1.129351423575804e-05,3.7199783443834698e-06,9.029434104443325e-06,3636.910388127
1784377800,9.029434104443325e-06,2.16543494419266e-05,7.980044450204139e-06,1.9366343739225835e-05,6985.274364806
1784379600,1.9366343739225835e-05,2.739060832295887e-05,1.8105733005306135e-05,2.08610860769995e-05,8320.0238102
1784381400,2.08610860769995e-05,2.165774079569323e-05,1.078195833149813e-05,1.6951224966993348e-05,4595.795372361
1784383200,1.6951224966993348e-05,1.764849047118629e-05,7.366771948012357e-06,1.0056156936642518e-05,5209.973321312001
1784385000,1.0056156936642518e-05,1.0821727543703932e-05,8.304325279886609e-06,8.775872758751575e-06,1848.6492326300001
1784386800,8.775872758751575e-06,1.6951621721543186e-05,8.059311570896592e-06,1.651324473419134e-05,3786.3593029229996
1784388600,1.651324473419134e-05,1.673212164872157e-05,1.1238937775022012e-05,1.3910258838805784e-05,2659.962860656
1784390400,1.3910258838805784e-05,1.6189050124711243e-05,9.903286824336714e-06,1.0954076885290403e-05,2002.0118313489997
1784392200,1.0954076885290403e-05,1.464945237082308e-05,1.0610779754263074e-05,1.317373327173043e-05,1080.842038476
1784394000,1.317373327173043e-05,1.4426822300047544e-05,1.122234296580687e-05,1.1250710676406006e-05,927.122053844
1784395800,1.1250710676406006e-05,1.2158823551177016e-05,8.999923416207255e-06,1.0142778343045716e-05,1309.7911322
1784397600,1.0142778343045716e-05,1.25035267636858e-05,9.157972186431904e-06,1.222954396789201e-05,1258.6097469779997
1784399400,1.222954396789201e-05,1.3133809327663836e-05,1.122132487397487e-05,1.157595535995863e-05,567.262958478
1784401200,1.157595535995863e-05,1.1943930510959538e-05,8.904675585942312e-06,9.100260580207368e-06,888.6218578529999
1784403000,9.100260580207368e-06,1.0028042942314853e-05,7.747862680916248e-06,9.616628444045774e-06,1174.6705210250002
1784404800,9.616628444045774e-06,9.89950821228612e-06,8.564470841088111e-06,9.27196339870533e-06,401.09984946599997
1784406600,9.27196339870533e-06,9.310835184114171e-06,3.682332785720006e-06,4.563717538206897e-06,2927.362438899
1784408400,4.563717538206897e-06,4.8606114357156325e-06,3.506635849316876e-06,3.964860017591262e-06,916.12262358
