ts,open,high,low,close,volume
1784441700,3.807095676664911e-05,3.891112417642738e-05,3.807095676664911e-05,3.807095676664911e-05,0.04596837046744
1784442300,3.807095676664911e-05,4.016254975874213e-05,3.807095676664911e-05,4.016254975874213e-05,0.1110145481455361
1784442900,4.016254975874213e-05,4.130602159671817e-05,4.016254975874213e-05,4.130602159671817e-05,0.03031085770702472
1784443200,4.130602159671817e-05,4.3684252828756477e-05,4.130602159671817e-05,4.3684252828756477e-05,0.06260058435766633
1784443500,4.3684252828756477e-05,4.492809044233123e-05,4.3684252828756477e-05,4.492809044233123e-05,0.030867709304851446
1784443800,4.492809044233123e-05,4.6248448243837035e-05,4.492809044233123e-05,4.6248448243837035e-05,0.03149060850663326
1784444100,4.6248448243837035e-05,4.750811310846318e-05,4.6248448243837035e-05,4.750811310846318e-05,0.03143524828527039
1784444400,4.750811310846318e-05,5.02148018894707e-05,4.750811310846318e-05,5.02148018894707e-05,0.06554063078426378
1784444700,5.02148018894707e-05,5.155317578689664e-05,5.02148018894707e-05,5.155317578689664e-05,0.03306267509319552
1784445300,5.155317578689664e-05,5.438037857158446e-05,5.155317578689664e-05,5.438037857158446e-05,0.06607399269683625
1784445600,5.438037857158446e-05,5.5868256692248486e-05,5.438037857158446e-05,5.5868256692248486e-05,0.032650230586059904
1784445900,5.5868256692248486e-05,5.735477048918944e-05,5.5868256692248486e-05,5.735477048918944e-05,0.03311677943623294
1784446200,5.735477048918944e-05,5.889841848225889e-05,5.735477048918944e-05,5.889841848225889e-05,0.03336678253535403
1784446500,5.889841848225889e-05,6.112552318982693e-05,5.889841848225889e-05,6.112552318982693e-05,0.1099220607327307
1784447100,6.112552318982693e-05,6.208464368480887e-05,6.112552318982693e-05,6.208464368480887e-05,0.05720574015163877
1784447400,6.208464368480887e-05,6.393926877455184e-05,6.208464368480887e-05,6.393926877455184e-05,0.11608262905564731
1784447700,6.393926877455184e-05,6.732180877369656e-05,6.393926877455184e-05,6.732180877369656e-05,0.20366863980266633
1784448000,6.732180877369656e-05,6.943570119600952e-05,6.732180877369656e-05,6.943570119600952e-05,0.11883453052191933
1784448300,6.943570119600952e-05,7.162999684920457e-05,6.943570119600952e-05,7.162999684920457e-05,0.12095073716622477
1784448600,7.162999684920457e-05,7.38424793226604e-05,7.162999684920457e-05,7.38424793226604e-05,0.12203079832601609
1784448900,7.38424793226604e-05,7.38424793226604e-05,5.735198954210259e-06,7.395521149191615e-06,14.285869927496448
