ts,open,high,low,close,volume
1784431800,6.1299456407e-06,6.1299456407e-06,3.956545612985e-06,4.547947155624e-06,6564.155177208944
1784433600,4.547947155624e-06,5.332825712927e-06,4.547947155624e-06,5.175988097582e-06,2912.174515880712
1784435400,5.227747978558e-06,5.949664846195e-06,4.502917975866e-06,5.440015509756e-06,3510.757098568796
1784437200,4.779938167885e-06,4.876014925059e-06,3.956545612985e-06,3.956545612985e-06,4235.64909942219
1784439000,4.036072179806e-06,4.639360893452e-06,4.036072179806e-06,4.639360893452e-06,1464.2577528820807
1784440800,4.639360893452e-06,4.92477507431e-06,4.45833462957e-06,4.685754502387e-06,1297.1642455162469
1784442600,4.685754502387e-06,4.92477507431e-06,4.593426627181e-06,4.639360893452e-06,916.7729871392092
1784444400,4.593426627181e-06,4.779938167885e-06,4.327215667625e-06,4.327215667625e-06,657.2946484729074
1784446200,4.284371948144e-06,4.284371948144e-06,3.690341527503e-06,3.727244942778e-06,1884.914210912971
1784448000,3.653803492577e-06,3.653803492577e-06,3.147201719457e-06,3.147201719457e-06,2172.780957097865
