pool,pool_address,tf,candle_source,sl_opt,exit_mode,be_mode,be_gate,be_min_candles,be_depth_pct,trigger_bar,trigger_time_wib,fractal_bar,fractal_time_wib,confirm_bar,confirm_time_wib,entry_bar,entry_time_wib,exit_bar,exit_time_wib,entry,tp,sl,st_confirm,st_dist_pct,rsi_trigger,rsi_confirm,outcome,bars_held,minutes_held,R,ever_floating_loss,loss_then_recovered_entry,deep50_loss,deep50_then_recovered_entry,deep75_loss,deep75_then_recovered_entry,loss_bars,profit_bars
BULLCAT-SOL,7D7T92iNJz1ZJcACUM7EPa5P9bDtHWDba9zWAVPW3ZUk,1m,pool_canonical,O1_SL50,TP_FRACTAL,,,,,93,2026-07-15 20:38,95,2026-07-15 20:41,98,2026-07-15 20:44,99,2026-07-15 20:45,112,2026-07-15 20:59,0.0015368032293711675,0.0015456784611938802,0.0007684016146855837,0.0013745920884320455,10.55510151455732,92.63829443940993,89.46835058254605,TP,14,14,0.011550251396002456,True,False,False,False,False,False,13,1
BULLCAT-SOL,7D7T92iNJz1ZJcACUM7EPa5P9bDtHWDba9zWAVPW3ZUk,1m,pool_canonical,O1_SL50,BE1,BE1,ever_loss,2,0.0,93,2026-07-15 20:38,95,2026-07-15 20:41,98,2026-07-15 20:44,99,2026-07-15 20:45,112,2026-07-15 20:59,0.0015368032293711675,0.0015456784611938802,0.0007684016146855837,0.0013745920884320455,10.55510151455732,92.63829443940993,89.46835058254605,TP,14,14,0.011550251396002456,True,False,False,False,False,False,13,1
BULLCAT-SOL,7D7T92iNJz1ZJcACUM7EPa5P9bDtHWDba9zWAVPW3ZUk,1m,pool_canonical,O1_SL50,BE50,BE50,deep50,2,50.0,93,2026-07-15 20:38,95,2026-07-15 20:41,98,2026-07-15 20:44,99,2026-07-15 20:45,112,2026-07-15 20:59,0.0015368032293711675,0.0015456784611938802,0.0007684016146855837,0.0013745920884320455,10.55510151455732,92.63829443940993,89.46835058254605,TP,14,14,0.011550251396002456,True,False,False,False,False,False,13,1
BULLCAT-SOL,7D7T92iNJz1ZJcACUM7EPa5P9bDtHWDba9zWAVPW3ZUk,1m,pool_canonical,O1_SL50,BE75,BE75,deep75,3,75.0,93,2026-07-15 20:38,95,2026-07-15 20:41,98,2026-07-15 20:44,99,2026-07-15 20:45,112,2026-07-15 20:59,0.0015368032293711675,0.0015456784611938802,0.0007684016146855837,0.0013745920884320455,10.55510151455732,92.63829443940993,89.46835058254605,TP,14,14,0.011550251396002456,True,False,False,False,False,False,13,1
BULLCAT-SOL,7D7T92iNJz1ZJcACUM7EPa5P9bDtHWDba9zWAVPW3ZUk,1m,pool_canonical,O2_ST2X,TP_FRACTAL,,,,,93,2026-07-15 20:38,95,2026-07-15 20:41,98,2026-07-15 20:44,99,2026-07-15 20:45,112,2026-07-15 20:59,0.0015368032293711675,0.0015456784611938802,0.0012123809474929236,0.0013745920884320455,10.55510151455732,92.63829443940993,89.46835058254605,TP,14,14,0.0273570353162228,True,False,True,False,False,False,13,1
BULLCAT-SOL,7D7T92iNJz1ZJcACUM7EPa5P9bDtHWDba9zWAVPW3ZUk,1m,pool_canonical,O2_ST2X,BE1,BE1,ever_loss,2,0.0,93,2026-07-15 20:38,95,2026-07-15 20:41,98,2026-07-15 20:44,99,2026-07-15 20:45,112,2026-07-15 20:59,0.0015368032293711675,0.0015456784611938802,0.0012123809474929236,0.0013745920884320455,10.55510151455732,92.63829443940993,89.46835058254605,TP,14,14,0.0273570353162228,True,False,True,False,False,False,13,1
BULLCAT-SOL,7D7T92iNJz1ZJcACUM7EPa5P9bDtHWDba9zWAVPW3ZUk,1m,pool_canonical,O2_ST2X,BE50,BE50,deep50,2,50.0,93,2026-07-15 20:38,95,2026-07-15 20:41,98,2026-07-15 20:44,99,2026-07-15 20:45,112,2026-07-15 20:59,0.0015368032293711675,0.0015456784611938802,0.0012123809474929236,0.0013745920884320455,10.55510151455732,92.63829443940993,89.46835058254605,TP,14,14,0.0273570353162228,True,False,True,False,False,False,13,1
BULLCAT-SOL,7D7T92iNJz1ZJcACUM7EPa5P9bDtHWDba9zWAVPW3ZUk,1m,pool_canonical,O2_ST2X,BE75,BE75,deep75,3,75.0,93,2026-07-15 20:38,95,2026-07-15 20:41,98,2026-07-15 20:44,99,2026-07-15 20:45,112,2026-07-15 20:59,0.0015368032293711675,0.0015456784611938802,0.0012123809474929236,0.0013745920884320455,10.55510151455732,92.63829443940993,89.46835058254605,TP,14,14,0.0273570353162228,True,False,True,False,False,False,13,1
BULLCAT-SOL,7D7T92iNJz1ZJcACUM7EPa5P9bDtHWDba9zWAVPW3ZUk,1m,pool_canonical,O1_SL50,TP_FRACTAL,,,,,112,2026-07-15 20:59,187,2026-07-15 22:27,190,2026-07-15 22:30,191,2026-07-15 22:31,196,2026-07-15 22:37,0.0015281106406054188,0.0015468017095008287,0.0007640553203027094,0.0013667537603894936,10.559240668070839,98.60617372742055,78.88709265443285,TP,6,6,0.0244629785288384,True,False,False,False,False,False,5,1
BULLCAT-SOL,7D7T92iNJz1ZJcACUM7EPa5P9bDtHWDba9zWAVPW3ZUk,1m,pool_canonical,O1_SL50,BE1,BE1,ever_loss,2,0.0,112,2026-07-15 20:59,187,2026-07-15 22:27,190,2026-07-15 22:30,191,2026-07-15 22:31,196,2026-07-15 22:37,0.0015281106406054188,0.0015468017095008287,0.0007640553203027094,0.0013667537603894936,10.559240668070839,98.60617372742055,78.88709265443285,TP,6,6,0.0244629785288384,True,False,False,False,False,False,5,1
BULLCAT-SOL,7D7T92iNJz1ZJcACUM7EPa5P9bDtHWDba9zWAVPW3ZUk,1m,pool_canonical,O1_SL50,BE50,BE50,deep50,2,50.0,112,2026-07-15 20:59,187,2026-07-15 22:27,190,2026-07-15 22:30,191,2026-07-15 22:31,196,2026-07-15 22:37,0.0015281106406054188,0.0015468017095008287,0.0007640553203027094,0.0013667537603894936,10.559240668070839,98.60617372742055,78.88709265443285,TP,6,6,0.0244629785288384,True,False,False,False,False,False,5,1
BULLCAT-SOL,7D7T92iNJz1ZJcACUM7EPa5P9bDtHWDba9zWAVPW3ZUk,1m,pool_canonical,O1_SL50,BE75,BE75,deep75,3,75.0,112,2026-07-15 20:59,187,2026-07-15 22:27,190,2026-07-15 22:30,191,2026-07-15 22:31,196,2026-07-15 22:37,0.0015281106406054188,0.0015468017095008287,0.0007640553203027094,0.0013667537603894936,10.559240668070839,98.60617372742055,78.88709265443285,TP,6,6,0.0244629785288384,True,False,False,False,False,False,5,1
BULLCAT-SOL,7D7T92iNJz1ZJcACUM7EPa5P9bDtHWDba9zWAVPW3ZUk,1m,pool_canonical,O2_ST2X,TP_FRACTAL,,,,,112,2026-07-15 20:59,187,2026-07-15 22:27,190,2026-07-15 22:30,191,2026-07-15 22:31,196,2026-07-15 22:37,0.0015281106406054188,0.0015468017095008287,0.0012053968801735684,0.0013667537603894936,10.559240668070839,98.60617372742055,78.88709265443285,TP,6,6,0.05791841311754986,True,False,False,False,False,False,5,1
BULLCAT-SOL,7D7T92iNJz1ZJcACUM7EPa5P9bDtHWDba9zWAVPW3ZUk,1m,pool_canonical,O2_ST2X,BE1,BE1,ever_loss,2,0.0,112,2026-07-15 20:59,187,2026-07-15 22:27,190,2026-07-15 22:30,191,2026-07-15 22:31,196,2026-07-15 22:37,0.0015281106406054188,0.0015468017095008287,0.0012053968801735684,0.0013667537603894936,10.559240668070839,98.60617372742055,78.88709265443285,TP,6,6,0.05791841311754986,True,False,False,False,False,False,5,1
BULLCAT-SOL,7D7T92iNJz1ZJcACUM7EPa5P9bDtHWDba9zWAVPW3ZUk,1m,pool_canonical,O2_ST2X,BE50,BE50,deep50,2,50.0,112,2026-07-15 20:59,187,2026-07-15 22:27,190,2026-07-15 22:30,191,2026-07-15 22:31,196,2026-07-15 22:37,0.0015281106406054188,0.0015468017095008287,0.0012053968801735684,0.0013667537603894936,10.559240668070839,98.60617372742055,78.88709265443285,TP,6,6,0.05791841311754986,True,False,False,False,False,False,5,1
BULLCAT-SOL,7D7T92iNJz1ZJcACUM7EPa5P9bDtHWDba9zWAVPW3ZUk,1m,pool_canonical,O2_ST2X,BE75,BE75,deep75,3,75.0,112,2026-07-15 20:59,187,2026-07-15 22:27,190,2026-07-15 22:30,191,2026-07-15 22:31,196,2026-07-15 22:37,0.0015281106406054188,0.0015468017095008287,0.0012053968801735684,0.0013667537603894936,10.559240668070839,98.60617372742055,78.88709265443285,TP,6,6,0.05791841311754986,True,False,False,False,False,False,5,1
BULLCAT-SOL,7D7T92iNJz1ZJcACUM7EPa5P9bDtHWDba9zWAVPW3ZUk,1m,pool_canonical,O1_SL50,TP_FRACTAL,,,,,198,2026-07-15 22:39,220,2026-07-15 23:08,223,2026-07-15 23:11,224,2026-07-15 23:12,224,2026-07-15 23:12,0.0015735559609490533,0.0015826549298348425,0.0007867779804745267,0.001409697093892775,10.413285013228938,90.81967838858327,78.77802780781191,TP,1,1,0.011564849438594349,False,False,False,False,False,False,0,1
