pool,pool_name,pool_address,tf,sl_opt,exit_mode,trades,TP,SL,BE,EXP,win_rate_resolved_pct,sl_rate_resolved_pct,be_rate_pct,be_gate_hit,be_gate_recovered,be_gate_recovery_rate_pct,ever_floating_loss,ever_floating_loss_pct,deep50_loss,deep50_then_recovered_entry,deep50_recovery_rate_pct,deep75_loss,deep75_then_recovered_entry,deep75_recovery_rate_pct,max_consec_win,min_consec_win,max_consec_loss,min_consec_loss,avg_bars_held,avg_minutes_held,avg_R,sum_R
Jimothy-SOL [2VHM9p...Krd9],Jimothy-SOL,2VHM9pTZEU6pqeZoiNi8ZCeyerqhRYgS5Um7U8AEKrd9,15m,O1_SL50,BE75,6,4,1,1,0,80.0,20.0,16.666666666666664,5,1,20.0,5,83.33333333333334,2,0,0.0,2,1,50.0,4,4,1,1,20.833333333333332,312.5,0.2958573035524645,1.7751438213147868
Jimothy-SOL [2VHM9p...Krd9],Jimothy-SOL,2VHM9pTZEU6pqeZoiNi8ZCeyerqhRYgS5Um7U8AEKrd9,15m,O2_ST2X,BE75,6,5,0,0,1,100.0,0.0,0.0,5,0,0.0,5,83.33333333333334,1,0,0.0,1,0,0.0,5,5,0,0,26.833333333333332,402.5,0.4308402515570071,2.5850415093420427
Jimothy-SOL [2VHM9p...Krd9],Jimothy-SOL,2VHM9pTZEU6pqeZoiNi8ZCeyerqhRYgS5Um7U8AEKrd9,1m,O1_SL50,BE75,27,24,2,1,0,92.3076923076923,7.6923076923076925,3.7037037037037033,27,1,3.7037037037037033,27,100.0,4,0,0.0,3,1,33.33333333333333,22,2,2,2,62.407407407407405,62.407407407407405,0.18099219931625207,4.886789381538806
Jimothy-SOL [2VHM9p...Krd9],Jimothy-SOL,2VHM9pTZEU6pqeZoiNi8ZCeyerqhRYgS5Um7U8AEKrd9,1m,O2_ST2X,BE75,27,18,9,0,0,66.66666666666666,33.33333333333333,0.0,27,0,0.0,27,100.0,14,0,0.0,9,0,0.0,8,1,5,1,27.555555555555557,27.555555555555557,0.22214200751086782,5.997834202793431
Jimothy-SOL [2VHM9p...Krd9],Jimothy-SOL,2VHM9pTZEU6pqeZoiNi8ZCeyerqhRYgS5Um7U8AEKrd9,5m,O1_SL50,BE75,18,15,3,0,0,83.33333333333334,16.666666666666664,0.0,16,0,0.0,16,88.88888888888889,5,0,0.0,3,0,0.0,13,1,2,1,34.0,170.0,0.07994077347306193,1.4389339225151148
Jimothy-SOL [2VHM9p...Krd9],Jimothy-SOL,2VHM9pTZEU6pqeZoiNi8ZCeyerqhRYgS5Um7U8AEKrd9,5m,O2_ST2X,BE75,18,14,3,1,0,82.35294117647058,17.647058823529413,5.555555555555555,16,1,6.25,16,88.88888888888889,5,0,0.0,4,1,25.0,13,1,3,3,30.666666666666668,153.33333333333334,0.24935827461536986,4.488448943076658
Jimothy-SOL [5pjRzU...1HQo],Jimothy-SOL,5pjRzUQan6bYynQERLK499fq48LiD5ryZrf9adZX1HQo,15m,O1_SL50,BE75,2,0,1,0,1,0.0,100.0,0.0,2,0,0.0,2,100.0,2,0,0.0,2,0,0.0,0,0,1,1,77.5,1162.5,-0.8535043847904658,-1.7070087695809315
Jimothy-SOL [5pjRzU...1HQo],Jimothy-SOL,5pjRzUQan6bYynQERLK499fq48LiD5ryZrf9adZX1HQo,15m,O2_ST2X,BE75,2,0,1,0,1,0.0,100.0,0.0,2,0,0.0,2,100.0,2,0,0.0,2,0,0.0,0,0,1,1,79.0,1185.0,-0.8823943464942634,-1.7647886929885268
Jimothy-SOL [5pjRzU...1HQo],Jimothy-SOL,5pjRzUQan6bYynQERLK499fq48LiD5ryZrf9adZX1HQo,1m,O1_SL50,BE75,22,19,1,2,0,95.0,5.0,9.090909090909092,19,2,10.526315789473683,19,86.36363636363636,5,0,0.0,3,2,66.66666666666666,14,5,1,1,57.27272727272727,57.27272727272727,0.12467963202033613,2.742951904447395
Jimothy-SOL [5pjRzU...1HQo],Jimothy-SOL,5pjRzUQan6bYynQERLK499fq48LiD5ryZrf9adZX1HQo,1m,O2_ST2X,BE75,22,16,4,2,0,80.0,20.0,9.090909090909092,19,2,10.526315789473683,19,86.36363636363636,7,0,0.0,6,2,33.33333333333333,12,1,2,1,26.727272727272727,26.727272727272727,0.4881052702626365,10.738315945778004
Jimothy-SOL [5pjRzU...1HQo],Jimothy-SOL,5pjRzUQan6bYynQERLK499fq48LiD5ryZrf9adZX1HQo,5m,O1_SL50,BE75,13,9,3,0,1,75.0,25.0,0.0,12,0,0.0,12,92.3076923076923,4,0,0.0,4,0,0.0,7,1,2,1,36.84615384615385,184.23076923076923,-0.07963729806419305,-1.0352848748345096
Jimothy-SOL [5pjRzU...1HQo],Jimothy-SOL,5pjRzUQan6bYynQERLK499fq48LiD5ryZrf9adZX1HQo,5m,O2_ST2X,BE75,13,7,4,2,0,63.63636363636363,36.36363636363637,15.384615384615385,12,2,16.666666666666664,12,92.3076923076923,7,0,0.0,6,2,33.33333333333333,6,1,3,1,37.69230769230769,188.46153846153845,-0.11532104920237359,-1.4991736396308566
DeFlock-SOL [69soPq...cAe8],DeFlock-SOL,69soPqSxLaSfVdF6uq4aczRgTWgieAYv2CSvYe6LcAe8,15m,O1_SL50,BE75,1,1,0,0,0,100.0,0.0,0.0,1,0,0.0,1,100.0,0,0,0.0,0,0,0.0,1,1,0,0,4.0,60.0,0.2928984830428425,0.2928984830428425
DeFlock-SOL [69soPq...cAe8],DeFlock-SOL,69soPqSxLaSfVdF6uq4aczRgTWgieAYv2CSvYe6LcAe8,15m,O2_ST2X,BE75,1,0,1,0,0,0.0,100.0,0.0,1,0,0.0,1,100.0,1,0,0.0,1,0,0.0,0,0,1,1,2.0,30.0,-1.0,-1.0
DeFlock-SOL [69soPq...cAe8],DeFlock-SOL,69soPqSxLaSfVdF6uq4aczRgTWgieAYv2CSvYe6LcAe8,1m,O1_SL50,BE75,2,2,0,0,0,100.0,0.0,0.0,1,0,0.0,1,50.0,0,0,0.0,0,0,0.0,2,2,0,0,11.5,11.5,0.12460005735102789,0.24920011470205577
DeFlock-SOL [69soPq...cAe8],DeFlock-SOL,69soPqSxLaSfVdF6uq4aczRgTWgieAYv2CSvYe6LcAe8,1m,O2_ST2X,BE75,2,1,1,0,0,50.0,50.0,0.0,1,0,0.0,1,50.0,1,0,0.0,1,0,0.0,1,1,1,1,1.5,1.5,-0.4622585639752207,-0.9245171279504414
DeFlock-SOL [69soPq...cAe8],DeFlock-SOL,69soPqSxLaSfVdF6uq4aczRgTWgieAYv2CSvYe6LcAe8,5m,O1_SL50,BE75,2,2,0,0,0,100.0,0.0,0.0,2,0,0.0,2,100.0,0,0,0.0,0,0,0.0,2,2,0,0,12.5,62.5,0.1770188056508808,0.3540376113017616
DeFlock-SOL [69soPq...cAe8],DeFlock-SOL,69soPqSxLaSfVdF6uq4aczRgTWgieAYv2CSvYe6LcAe8,5m,O2_ST2X,BE75,2,1,0,1,0,100.0,0.0,50.0,2,1,50.0,2,100.0,1,0,0.0,1,1,100.0,1,1,0,0,7.0,35.0,0.2462081197834209,0.4924162395668418
Cyclospora-SOL [6ADb6e...9fv9],Cyclospora-SOL,6ADb6eHkYUfvKAx1ZDT7y8JFTAJr4Ze6NZTH5H99fv9,15m,O1_SL50,BE75,3,2,1,0,0,66.66666666666666,33.33333333333333,0.0,2,0,0.0,2,66.66666666666666,1,0,0.0,1,0,0.0,2,2,1,1,17.666666666666668,265.0,-0.069471024705757,-0.208413074117271
Cyclospora-SOL [6ADb6e...9fv9],Cyclospora-SOL,6ADb6eHkYUfvKAx1ZDT7y8JFTAJr4Ze6NZTH5H99fv9,15m,O2_ST2X,BE75,3,2,1,0,0,66.66666666666666,33.33333333333333,0.0,2,0,0.0,2,66.66666666666666,1,0,0.0,1,0,0.0,2,2,1,1,9.666666666666666,145.0,0.3568182070530435,1.0704546211591306
Cyclospora-SOL [6ADb6e...9fv9],Cyclospora-SOL,6ADb6eHkYUfvKAx1ZDT7y8JFTAJr4Ze6NZTH5H99fv9,1m,O1_SL50,BE75,5,4,1,0,0,80.0,20.0,0.0,4,0,0.0,4,80.0,2,0,0.0,1,0,0.0,2,2,1,1,26.6,26.6,-0.05256395360162787,-0.26281976800813933
Cyclospora-SOL [6ADb6e...9fv9],Cyclospora-SOL,6ADb6eHkYUfvKAx1ZDT7y8JFTAJr4Ze6NZTH5H99fv9,1m,O2_ST2X,BE75,5,2,3,0,0,40.0,60.0,0.0,4,0,0.0,4,80.0,4,0,0.0,3,0,0.0,2,2,3,3,5.0,5.0,-0.49760241100827257,-2.488012055041363
Cyclospora-SOL [6ADb6e...9fv9],Cyclospora-SOL,6ADb6eHkYUfvKAx1ZDT7y8JFTAJr4Ze6NZTH5H99fv9,5m,O1_SL50,BE75,6,4,0,1,1,100.0,0.0,16.666666666666664,6,1,16.666666666666664,6,100.0,2,0,0.0,2,1,50.0,4,4,0,0,18.666666666666668,93.33333333333333,0.01798079743376091,0.10788478460256545
Cyclospora-SOL [6ADb6e...9fv9],Cyclospora-SOL,6ADb6eHkYUfvKAx1ZDT7y8JFTAJr4Ze6NZTH5H99fv9,5m,O2_ST2X,BE75,6,4,1,1,0,80.0,20.0,16.666666666666664,6,1,16.666666666666664,6,100.0,3,0,0.0,2,1,50.0,4,4,1,1,12.333333333333334,61.666666666666664,0.4190763967021282,2.514458380212769
baby-SOL [78Uf7b...2fFW],baby-SOL,78Uf7boC2VMZiQm8A8CxAXzBXRWCJYhmCgJaGzux2fFW,15m,O1_SL50,BE75,5,2,2,0,1,50.0,50.0,0.0,5,0,0.0,5,100.0,4,0,0.0,3,0,0.0,2,2,1,1,54.4,816.0,-0.28301568999061943,-1.415078449953097
baby-SOL [78Uf7b...2fFW],baby-SOL,78Uf7boC2VMZiQm8A8CxAXzBXRWCJYhmCgJaGzux2fFW,15m,O2_ST2X,BE75,5,1,2,1,1,33.33333333333333,66.66666666666666,20.0,5,1,20.0,5,100.0,4,0,0.0,4,1,25.0,1,1,2,2,34.2,513.0,-0.3294610799442451,-1.6473053997212257
baby-SOL [78Uf7b...2fFW],baby-SOL,78Uf7boC2VMZiQm8A8CxAXzBXRWCJYhmCgJaGzux2fFW,1m,O1_SL50,BE75,6,4,0,1,1,100.0,0.0,16.666666666666664,4,1,25.0,4,66.66666666666666,2,0,0.0,2,1,50.0,4,4,0,0,72.33333333333333,72.33333333333333,0.02179001574272732,0.13074009445636392
baby-SOL [78Uf7b...2fFW],baby-SOL,78Uf7boC2VMZiQm8A8CxAXzBXRWCJYhmCgJaGzux2fFW,1m,O2_ST2X,BE75,6,2,3,1,0,40.0,60.0,16.666666666666664,4,1,25.0,4,66.66666666666666,4,0,0.0,4,1,25.0,2,2,3,3,8.0,8.0,-0.4666960391881658,-2.800176235128995
baby-SOL [78Uf7b...2fFW],baby-SOL,78Uf7boC2VMZiQm8A8CxAXzBXRWCJYhmCgJaGzux2fFW,5m,O1_SL50,BE75,6,3,2,1,0,60.0,40.0,16.666666666666664,6,1,16.666666666666664,6,100.0,3,0,0.0,3,1,33.33333333333333,2,1,1,1,66.83333333333333,334.1666666666667,-0.21288667748877085,-1.277320064932625
baby-SOL [78Uf7b...2fFW],baby-SOL,78Uf7boC2VMZiQm8A8CxAXzBXRWCJYhmCgJaGzux2fFW,5m,O2_ST2X,BE75,6,3,3,0,0,50.0,50.0,0.0,6,0,0.0,6,100.0,3,0,0.0,3,0,0.0,2,1,2,1,52.666666666666664,263.3333333333333,0.3112830082992447,1.8676980497954683
burger-SOL [AK6jh5...nNua],burger-SOL,AK6jh58yg82b9wTiNYayAxNB7NERESx7wWXV6LJ4nNua,15m,O1_SL50,BE75,5,2,3,0,0,40.0,60.0,0.0,5,0,0.0,5,100.0,4,0,0.0,3,0,0.0,1,1,1,1,16.2,243.0,-0.4136830534591439,-2.0684152672957197
burger-SOL [AK6jh5...nNua],burger-SOL,AK6jh58yg82b9wTiNYayAxNB7NERESx7wWXV6LJ4nNua,15m,O2_ST2X,BE75,5,2,3,0,0,40.0,60.0,0.0,5,0,0.0,5,100.0,4,0,0.0,4,0,0.0,1,1,1,1,15.4,231.0,-0.24953307108132802,-1.2476653554066401
burger-SOL [AK6jh5...nNua],burger-SOL,AK6jh58yg82b9wTiNYayAxNB7NERESx7wWXV6LJ4nNua,1m,O1_SL50,BE75,7,5,2,0,0,71.42857142857143,28.57142857142857,0.0,7,0,0.0,7,100.0,4,0,0.0,4,0,0.0,2,1,1,1,18.571428571428573,18.571428571428573,-0.15005095005617664,-1.0503566503932364
burger-SOL [AK6jh5...nNua],burger-SOL,AK6jh58yg82b9wTiNYayAxNB7NERESx7wWXV6LJ4nNua,1m,O2_ST2X,BE75,7,1,6,0,0,14.285714285714285,85.71428571428571,0.0,7,0,0.0,7,100.0,6,0,0.0,6,0,0.0,1,1,6,6,6.0,6.0,-0.8503253709355152,-5.9522775965486066
burger-SOL [AK6jh5...nNua],burger-SOL,AK6jh58yg82b9wTiNYayAxNB7NERESx7wWXV6LJ4nNua,5m,O1_SL50,BE75,5,2,3,0,0,40.0,60.0,0.0,5,0,0.0,5,100.0,4,0,0.0,3,0,0.0,1,1,1,1,24.4,122.0,-0.4745999512467519,-2.3729997562337597
burger-SOL [AK6jh5...nNua],burger-SOL,AK6jh58yg82b9wTiNYayAxNB7NERESx7wWXV6LJ4nNua,5m,O2_ST2X,BE75,5,0,5,0,0,0.0,100.0,0.0,5,0,0.0,5,100.0,5,0,0.0,5,0,0.0,0,0,5,5,23.8,119.0,-1.0,-5.0
Shadow-SOL [AMKGeQ...sKnq],Shadow-SOL,AMKGeQR2JMdiR9aGfBezaPrWRMW2JppZTa1jw1KosKnq,15m,O1_SL50,BE75,3,1,2,0,0,33.33333333333333,66.66666666666666,0.0,3,0,0.0,3,100.0,2,0,0.0,2,0,0.0,1,1,1,1,12.0,180.0,-0.5109783856980727,-1.5329351570942182
Shadow-SOL [AMKGeQ...sKnq],Shadow-SOL,AMKGeQR2JMdiR9aGfBezaPrWRMW2JppZTa1jw1KosKnq,15m,O2_ST2X,BE75,3,1,2,0,0,33.33333333333333,66.66666666666666,0.0,3,0,0.0,3,100.0,2,0,0.0,2,0,0.0,1,1,1,1,18.666666666666668,280.0,-0.3766390641862964,-1.1299171925588891
Shadow-SOL [AMKGeQ...sKnq],Shadow-SOL,AMKGeQR2JMdiR9aGfBezaPrWRMW2JppZTa1jw1KosKnq,1m,O1_SL50,BE75,1,0,1,0,0,0.0,100.0,0.0,1,0,0.0,1,100.0,1,0,0.0,1,0,0.0,0,0,1,1,39.0,39.0,-1.0,-1.0
Shadow-SOL [AMKGeQ...sKnq],Shadow-SOL,AMKGeQR2JMdiR9aGfBezaPrWRMW2JppZTa1jw1KosKnq,1m,O2_ST2X,BE75,1,0,0,1,0,0.0,0.0,100.0,1,1,100.0,1,100.0,1,0,0.0,1,1,100.0,0,0,0,0,4.0,4.0,0.0,0.0
Shadow-SOL [AMKGeQ...sKnq],Shadow-SOL,AMKGeQR2JMdiR9aGfBezaPrWRMW2JppZTa1jw1KosKnq,5m,O1_SL50,BE75,4,1,3,0,0,25.0,75.0,0.0,3,0,0.0,3,75.0,3,0,0.0,3,0,0.0,1,1,2,1,20.75,103.75,-0.7334153495134386,-2.9336613980537543
Shadow-SOL [AMKGeQ...sKnq],Shadow-SOL,AMKGeQR2JMdiR9aGfBezaPrWRMW2JppZTa1jw1KosKnq,5m,O2_ST2X,BE75,4,1,1,2,0,50.0,50.0,50.0,3,2,66.66666666666666,3,75.0,3,0,0.0,3,2,66.66666666666666,1,1,1,1,15.5,77.5,-0.24132394047578518,-0.9652957619031407
RICH-SOL [BGRTiY...Fwi3],RICH-SOL,BGRTiYMPfpfYANXxbAsgTW7KMPt6DTjahEytAZDvFwi3,15m,O1_SL50,BE75,9,3,6,0,0,33.33333333333333,66.66666666666666,0.0,7,0,0.0,7,77.77777777777779,6,0,0.0,6,0,0.0,2,1,4,1,60.44444444444444,906.6666666666666,-0.5691602750869335,-5.122442475782401
RICH-SOL [BGRTiY...Fwi3],RICH-SOL,BGRTiYMPfpfYANXxbAsgTW7KMPt6DTjahEytAZDvFwi3,15m,O2_ST2X,BE75,9,3,6,0,0,33.33333333333333,66.66666666666666,0.0,7,0,0.0,7,77.77777777777779,6,0,0.0,6,0,0.0,2,1,4,1,33.666666666666664,505.0,-0.5159069901142249,-4.643162911028024
RICH-SOL [BGRTiY...Fwi3],RICH-SOL,BGRTiYMPfpfYANXxbAsgTW7KMPt6DTjahEytAZDvFwi3,1m,O1_SL50,BE75,1,0,1,0,0,0.0,100.0,0.0,1,0,0.0,1,100.0,1,0,0.0,1,0,0.0,0,0,1,1,1.0,1.0,-1.0,-1.0
RICH-SOL [BGRTiY...Fwi3],RICH-SOL,BGRTiYMPfpfYANXxbAsgTW7KMPt6DTjahEytAZDvFwi3,1m,O2_ST2X,BE75,1,0,1,0,0,0.0,100.0,0.0,1,0,0.0,1,100.0,1,0,0.0,1,0,0.0,0,0,1,1,1.0,1.0,-1.0,-1.0
RICH-SOL [BGRTiY...Fwi3],RICH-SOL,BGRTiYMPfpfYANXxbAsgTW7KMPt6DTjahEytAZDvFwi3,5m,O1_SL50,BE75,2,2,0,0,0,100.0,0.0,0.0,2,0,0.0,2,100.0,0,0,0.0,0,0,0.0,2,2,0,0,10.5,52.5,0.42376188472639265,0.8475237694527853
RICH-SOL [BGRTiY...Fwi3],RICH-SOL,BGRTiYMPfpfYANXxbAsgTW7KMPt6DTjahEytAZDvFwi3,5m,O2_ST2X,BE75,2,2,0,0,0,100.0,0.0,0.0,2,0,0.0,2,100.0,0,0,0.0,0,0,0.0,2,2,0,0,10.5,52.5,0.5411180397263748,1.0822360794527497
Jimothy-SOL [CPmWp5...wdoC],Jimothy-SOL,CPmWp5vWtb1Xqty4DNPABLb2NUBzcMt2ThJoanNEwdoC,15m,O1_SL50,BE75,2,0,2,0,0,0.0,100.0,0.0,2,0,0.0,2,100.0,2,0,0.0,2,0,0.0,0,0,2,2,17.0,255.0,-1.0,-2.0
Jimothy-SOL [CPmWp5...wdoC],Jimothy-SOL,CPmWp5vWtb1Xqty4DNPABLb2NUBzcMt2ThJoanNEwdoC,15m,O2_ST2X,BE75,2,0,2,0,0,0.0,100.0,0.0,2,0,0.0,2,100.0,2,0,0.0,2,0,0.0,0,0,2,2,17.0,255.0,-1.0,-2.0
Jimothy-SOL [CPmWp5...wdoC],Jimothy-SOL,CPmWp5vWtb1Xqty4DNPABLb2NUBzcMt2ThJoanNEwdoC,1m,O1_SL50,BE75,26,21,5,0,0,80.76923076923077,19.230769230769234,0.0,23,0,0.0,23,88.46153846153845,6,0,0.0,5,0,0.0,6,2,1,1,28.153846153846153,28.153846153846153,-0.10938051061401227,-2.843893275964319
Jimothy-SOL [CPmWp5...wdoC],Jimothy-SOL,CPmWp5vWtb1Xqty4DNPABLb2NUBzcMt2ThJoanNEwdoC,1m,O2_ST2X,BE75,25,18,7,0,0,72.0,28.000000000000004,0.0,22,0,0.0,22,88.0,8,0,0.0,7,0,0.0,4,1,1,1,17.52,17.52,-0.0538479425854144,-1.34619856463536
Jimothy-SOL [CPmWp5...wdoC],Jimothy-SOL,CPmWp5vWtb1Xqty4DNPABLb2NUBzcMt2ThJoanNEwdoC,5m,O1_SL50,BE75,10,5,5,0,0,50.0,50.0,0.0,8,0,0.0,8,80.0,6,0,0.0,5,0,0.0,2,1,2,1,33.0,165.0,-0.35589290347936803,-3.5589290347936804
Jimothy-SOL [CPmWp5...wdoC],Jimothy-SOL,CPmWp5vWtb1Xqty4DNPABLb2NUBzcMt2ThJoanNEwdoC,5m,O2_ST2X,BE75,10,5,5,0,0,50.0,50.0,0.0,8,0,0.0,8,80.0,5,0,0.0,5,0,0.0,2,1,2,1,26.4,132.0,-0.3763745703168196,-3.763745703168196
GPC-SOL [CyKTuP...hmqT],GPC-SOL,CyKTuPwSyw2EhFGjvpNWYfpCheyqGNrgEZoXiF5ShmqT,15m,O1_SL50,BE75,4,3,0,0,1,100.0,0.0,0.0,3,0,0.0,3,75.0,0,0,0.0,0,0,0.0,3,3,0,0,21.5,322.5,0.11552593388068494,0.46210373552273976
GPC-SOL [CyKTuP...hmqT],GPC-SOL,CyKTuPwSyw2EhFGjvpNWYfpCheyqGNrgEZoXiF5ShmqT,15m,O2_ST2X,BE75,4,1,2,1,0,33.33333333333333,66.66666666666666,25.0,3,1,33.33333333333333,3,75.0,3,0,0.0,3,1,33.33333333333333,1,1,2,2,8.75,131.25,-0.40904524512191964,-1.6361809804876786
GPC-SOL [CyKTuP...hmqT],GPC-SOL,CyKTuPwSyw2EhFGjvpNWYfpCheyqGNrgEZoXiF5ShmqT,5m,O1_SL50,BE75,2,2,0,0,0,100.0,0.0,0.0,2,0,0.0,2,100.0,1,0,0.0,0,0,0.0,2,2,0,0,34.5,172.5,0.16517659112089178,0.33035318224178356
GPC-SOL [CyKTuP...hmqT],GPC-SOL,CyKTuPwSyw2EhFGjvpNWYfpCheyqGNrgEZoXiF5ShmqT,5m,O2_ST2X,BE75,2,1,1,0,0,50.0,50.0,0.0,2,0,0.0,2,100.0,2,0,0.0,2,0,0.0,1,1,1,1,30.0,150.0,-0.42974722824160017,-0.8594944564832003
Jimothy-SOL [E3Sota...rYo6],Jimothy-SOL,E3SotafntrgRg9XjppxqoJWSR4GUaJV7sA8u4a89rYo6,15m,O1_SL50,BE75,2,0,0,0,2,0.0,0.0,0.0,2,0,0.0,2,100.0,2,0,0.0,1,0,0.0,0,0,0,0,48.5,727.5,-0.5414250230147435,-1.082850046029487
Jimothy-SOL [E3Sota...rYo6],Jimothy-SOL,E3SotafntrgRg9XjppxqoJWSR4GUaJV7sA8u4a89rYo6,15m,O2_ST2X,BE75,2,0,1,0,1,0.0,100.0,0.0,2,0,0.0,2,100.0,2,0,0.0,2,0,0.0,0,0,1,1,36.0,540.0,-0.8318163170784468,-1.6636326341568937
Jimothy-SOL [E3Sota...rYo6],Jimothy-SOL,E3SotafntrgRg9XjppxqoJWSR4GUaJV7sA8u4a89rYo6,1m,O1_SL50,BE75,48,40,2,3,3,95.23809523809523,4.761904761904762,6.25,43,3,6.976744186046512,43,89.58333333333334,6,0,0.0,5,3,60.0,16,11,1,1,85.20833333333333,85.20833333333333,0.038822308310415075,1.8634707988999235
Jimothy-SOL [E3Sota...rYo6],Jimothy-SOL,E3SotafntrgRg9XjppxqoJWSR4GUaJV7sA8u4a89rYo6,1m,O2_ST2X,BE75,48,31,14,3,0,68.88888888888889,31.11111111111111,6.25,43,3,6.976744186046512,43,89.58333333333334,19,0,0.0,18,3,16.666666666666664,13,1,3,1,12.895833333333334,12.895833333333334,-0.08490449756567338,-4.075415883152322
Jimothy-SOL [E3Sota...rYo6],Jimothy-SOL,E3SotafntrgRg9XjppxqoJWSR4GUaJV7sA8u4a89rYo6,5m,O1_SL50,BE75,10,6,2,1,1,75.0,25.0,10.0,10,1,10.0,10,100.0,5,0,0.0,4,1,25.0,3,1,1,1,57.7,288.5,-0.10363886725871665,-1.0363886725871665
Jimothy-SOL [E3Sota...rYo6],Jimothy-SOL,E3SotafntrgRg9XjppxqoJWSR4GUaJV7sA8u4a89rYo6,5m,O2_ST2X,BE75,10,5,4,1,0,55.55555555555556,44.44444444444444,10.0,10,1,10.0,10,100.0,5,0,0.0,5,1,20.0,3,1,2,2,23.8,119.0,-0.25476981655409303,-2.5476981655409303
FOMO-SOL [E7bCE6...b2qL],FOMO-SOL,E7bCE6aWa5ujax7iCjUmtT9ijZq6avwH2RsPhwsNb2qL,1m,O1_SL50,BE75,2,1,0,0,1,100.0,0.0,0.0,2,0,0.0,2,100.0,1,0,0.0,1,0,0.0,1,1,0,0,135.0,135.0,-0.265607696904765,-0.53121539380953
FOMO-SOL [E7bCE6...b2qL],FOMO-SOL,E7bCE6aWa5ujax7iCjUmtT9ijZq6avwH2RsPhwsNb2qL,1m,O2_ST2X,BE75,2,0,2,0,0,0.0,100.0,0.0,2,0,0.0,2,100.0,2,0,0.0,2,0,0.0,0,0,2,2,2.5,2.5,-1.0,-2.0
FOMO-SOL [E7bCE6...b2qL],FOMO-SOL,E7bCE6aWa5ujax7iCjUmtT9ijZq6avwH2RsPhwsNb2qL,5m,O1_SL50,BE75,1,0,0,0,1,0.0,0.0,0.0,1,0,0.0,1,100.0,1,0,0.0,1,0,0.0,0,0,0,0,175.0,875.0,-0.7644451096321988,-0.7644451096321988
FOMO-SOL [E7bCE6...b2qL],FOMO-SOL,E7bCE6aWa5ujax7iCjUmtT9ijZq6avwH2RsPhwsNb2qL,5m,O2_ST2X,BE75,1,0,0,1,0,0.0,0.0,100.0,1,1,100.0,1,100.0,1,0,0.0,1,1,100.0,0,0,0,0,36.0,180.0,0.0,0.0
NEIL-SOL [EqYyE5...hHBy],NEIL-SOL,EqYyE5xgTLWLe8j45FefnvjLgxVBfCh517JzgjkAhHBy,15m,O1_SL50,BE75,1,0,1,0,0,0.0,100.0,0.0,1,0,0.0,1,100.0,1,0,0.0,1,0,0.0,0,0,1,1,9.0,135.0,-1.0,-1.0
NEIL-SOL [EqYyE5...hHBy],NEIL-SOL,EqYyE5xgTLWLe8j45FefnvjLgxVBfCh517JzgjkAhHBy,15m,O2_ST2X,BE75,1,0,1,0,0,0.0,100.0,0.0,1,0,0.0,1,100.0,1,0,0.0,1,0,0.0,0,0,1,1,5.0,75.0,-1.0,-1.0
HOMIE-SOL [F4vMYS...qJJ3],HOMIE-SOL,F4vMYSXZEbo1Cppu2nTfjmFFsqnUxHfcHA9gAeLrqJJ3,1m,O1_SL50,BE75,2,1,1,0,0,50.0,50.0,0.0,1,0,0.0,1,50.0,1,0,0.0,1,0,0.0,1,1,1,1,39.5,39.5,-0.4161231083968667,-0.8322462167937335
HOMIE-SOL [F4vMYS...qJJ3],HOMIE-SOL,F4vMYSXZEbo1Cppu2nTfjmFFsqnUxHfcHA9gAeLrqJJ3,1m,O2_ST2X,BE75,2,1,1,0,0,50.0,50.0,0.0,1,0,0.0,1,50.0,1,0,0.0,1,0,0.0,1,1,1,1,7.0,7.0,0.037751268850207964,0.07550253770041593
Jimothy-SOL [F9wHCD...7GgQ],Jimothy-SOL,F9wHCDQq9z7nvE1eNzd3fYYF7kgQ1UG7cdyQvAxa7GgQ,15m,O1_SL50,BE75,2,1,0,0,1,100.0,0.0,0.0,2,0,0.0,2,100.0,1,0,0.0,1,0,0.0,1,1,0,0,28.5,427.5,-0.123202816497506,-0.246405632995012
