pool,pool_name,pool_address,tf,sl_opt,exit_mode,trades,TP,SL,BE,EXP,win_rate_resolved_pct,sl_rate_resolved_pct,be_rate_pct,be_gate_hit,be_gate_recovered,be_gate_recovery_rate_pct,ever_floating_loss,ever_floating_loss_pct,deep50_loss,deep50_then_recovered_entry,deep50_recovery_rate_pct,deep75_loss,deep75_then_recovered_entry,deep75_recovery_rate_pct,max_consec_win,min_consec_win,max_consec_loss,min_consec_loss,avg_bars_held,avg_minutes_held,avg_R,sum_R
Jimothy-SOL [2VHM9p...Krd9],Jimothy-SOL,2VHM9pTZEU6pqeZoiNi8ZCeyerqhRYgS5Um7U8AEKrd9,15m,O1_SL50,TP_FRACTAL,6,5,1,0,0,83.33333333333334,16.666666666666664,0.0,5,0,0.0,5,83.33333333333334,2,0,0.0,2,0,0.0,5,5,1,1,22.833333333333332,342.5,0.34847492919808426,2.0908495751885057
Jimothy-SOL [2VHM9p...Krd9],Jimothy-SOL,2VHM9pTZEU6pqeZoiNi8ZCeyerqhRYgS5Um7U8AEKrd9,15m,O2_ST2X,TP_FRACTAL,6,5,0,0,1,100.0,0.0,0.0,5,0,0.0,5,83.33333333333334,1,0,0.0,1,0,0.0,5,5,0,0,26.833333333333332,402.5,0.4308402515570071,2.5850415093420427
Jimothy-SOL [2VHM9p...Krd9],Jimothy-SOL,2VHM9pTZEU6pqeZoiNi8ZCeyerqhRYgS5Um7U8AEKrd9,1m,O1_SL50,TP_FRACTAL,27,25,2,0,0,92.5925925925926,7.4074074074074066,0.0,27,0,0.0,27,100.0,4,0,0.0,3,0,0.0,23,2,2,2,62.51851851851852,62.51851851851852,0.18425765080718698,4.974956571794048
Jimothy-SOL [2VHM9p...Krd9],Jimothy-SOL,2VHM9pTZEU6pqeZoiNi8ZCeyerqhRYgS5Um7U8AEKrd9,1m,O2_ST2X,TP_FRACTAL,27,18,9,0,0,66.66666666666666,33.33333333333333,0.0,27,0,0.0,27,100.0,14,0,0.0,9,0,0.0,8,1,5,1,27.555555555555557,27.555555555555557,0.22214200751086782,5.997834202793431
Jimothy-SOL [2VHM9p...Krd9],Jimothy-SOL,2VHM9pTZEU6pqeZoiNi8ZCeyerqhRYgS5Um7U8AEKrd9,5m,O1_SL50,TP_FRACTAL,18,15,3,0,0,83.33333333333334,16.666666666666664,0.0,16,0,0.0,16,88.88888888888889,5,0,0.0,3,0,0.0,13,1,2,1,34.0,170.0,0.07994077347306193,1.4389339225151148
Jimothy-SOL [2VHM9p...Krd9],Jimothy-SOL,2VHM9pTZEU6pqeZoiNi8ZCeyerqhRYgS5Um7U8AEKrd9,5m,O2_ST2X,TP_FRACTAL,18,15,3,0,0,83.33333333333334,16.666666666666664,0.0,16,0,0.0,16,88.88888888888889,5,0,0.0,4,0,0.0,13,1,2,1,30.77777777777778,153.88888888888889,0.26151830693319,4.70732952479742
Jimothy-SOL [5pjRzU...1HQo],Jimothy-SOL,5pjRzUQan6bYynQERLK499fq48LiD5ryZrf9adZX1HQo,15m,O1_SL50,TP_FRACTAL,2,0,1,0,1,0.0,100.0,0.0,2,0,0.0,2,100.0,2,0,0.0,2,0,0.0,0,0,1,1,77.5,1162.5,-0.8535043847904658,-1.7070087695809315
Jimothy-SOL [5pjRzU...1HQo],Jimothy-SOL,5pjRzUQan6bYynQERLK499fq48LiD5ryZrf9adZX1HQo,15m,O2_ST2X,TP_FRACTAL,2,0,1,0,1,0.0,100.0,0.0,2,0,0.0,2,100.0,2,0,0.0,2,0,0.0,0,0,1,1,79.0,1185.0,-0.8823943464942634,-1.7647886929885268
Jimothy-SOL [5pjRzU...1HQo],Jimothy-SOL,5pjRzUQan6bYynQERLK499fq48LiD5ryZrf9adZX1HQo,1m,O1_SL50,TP_FRACTAL,22,20,2,0,0,90.9090909090909,9.090909090909092,0.0,19,0,0.0,19,86.36363636363636,5,0,0.0,3,0,0.0,15,2,1,1,74.4090909090909,74.4090909090909,0.08310274360777985,1.8282603593711566
Jimothy-SOL [5pjRzU...1HQo],Jimothy-SOL,5pjRzUQan6bYynQERLK499fq48LiD5ryZrf9adZX1HQo,1m,O2_ST2X,TP_FRACTAL,22,18,4,0,0,81.81818181818183,18.181818181818183,0.0,19,0,0.0,19,86.36363636363636,7,0,0.0,6,0,0.0,14,1,2,1,27.045454545454547,27.045454545454547,0.557948225050365,12.27486095110803
Jimothy-SOL [5pjRzU...1HQo],Jimothy-SOL,5pjRzUQan6bYynQERLK499fq48LiD5ryZrf9adZX1HQo,5m,O1_SL50,TP_FRACTAL,13,9,3,0,1,75.0,25.0,0.0,12,0,0.0,12,92.3076923076923,4,0,0.0,4,0,0.0,7,1,2,1,36.84615384615385,184.23076923076923,-0.07963729806419305,-1.0352848748345096
Jimothy-SOL [5pjRzU...1HQo],Jimothy-SOL,5pjRzUQan6bYynQERLK499fq48LiD5ryZrf9adZX1HQo,5m,O2_ST2X,TP_FRACTAL,13,9,4,0,0,69.23076923076923,30.76923076923077,0.0,12,0,0.0,12,92.3076923076923,7,0,0.0,6,0,0.0,7,1,2,1,38.15384615384615,190.76923076923077,-0.013971781933726767,-0.18163316513844796
